question,answer,qA
"#Q China and The United States officially declared war on Japan, how many days after the attack on Pearl Harbor?
",One,"['#Q China and The United States officially declared war on Japan, how many days after the attack on Pearl Harbor?\n'
 '^ One\n' 'A One\n' 'B Seven\n' 'C Ten\n' 'D Two\n']"
"#Q On 11 December 1941, Germany declared war on the United States, hoping that Japan would consecutively support the attack on the Soviet Union.
",True,"['#Q On 11 December 1941, Germany declared war on the United States, hoping that Japan would consecutively support the attack on the Soviet Union.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q What were the nicknames of the two atomic bombs dropped over Japan on 6 August 1945 and 9 August 1945?\n']"
"#Q What were the nicknames of the two atomic bombs dropped over Japan on 6 August 1945 and 9 August 1945?
",Little Boy and Fat Man,"['#Q What were the nicknames of the two atomic bombs dropped over Japan on 6 August 1945 and 9 August 1945?\n'
 '^ Little Boy and Fat Man\n' 'A Bomb 1 and Bomb 2\n'
 'B Mother-in-law and Father-in-law\n' 'C Sandman and Assassin\n'
 'D Little Boy and Fat Man\n']"
"#Q During World War II, resistance was formed in every occupied country. What was the name of the resistance movement that the British were preparing, in case the country was occupied?
",Auxiliary Units,"['#Q During World War II, resistance was formed in every occupied country. What was the name of the resistance movement that the British were preparing, in case the country was occupied?\n'
 '^ Auxiliary Units\n' 'A Auxiliary Units\n' 'B Complementary Units\n'
 'C Subsidiary Movement\n' 'D Auxiliary Detachments\n']"
"#Q Which Central European country fought alongside the Allies on all European and African fronts during WW II and was left on the eastern side of the curtain at the Yalta Conference?
",Poland,"['#Q Which Central European country fought alongside the Allies on all European and African fronts during WW II and was left on the eastern side of the curtain at the Yalta Conference?\n'
 '^ Poland\n' 'A Poland\n' 'B Hungary\n' 'C Romania\n' 'D Greece\n']"
"#Q Which country was divided into East and West during the Cold War?
",Germany,"['#Q Which country was divided into East and West during the Cold War?\n'
 '^ Germany\n' 'A Czechoslovakia\n' 'B Germany\n' 'C Austria\n'
 'D Poland\n']"
"#Q Which nation revolted against Soviet-imposed policies in 1956?
",Hungary,"['#Q Which nation revolted against Soviet-imposed policies in 1956?\n'
 '^ Hungary\n' 'A Ukraine\n' 'B Poland\n' 'C Hungary\n'
 'D Czechoslovakia\n']"
"#Q Which country was invaded by the Soviet Army in 1968?
",Czechoslovakia,"['#Q Which country was invaded by the Soviet Army in 1968?\n'
 '^ Czechoslovakia\n' 'A Afghanistan\n' 'B Poland\n' 'C Hungary\n'
 'D Czechoslovakia\n']"
"#Q Which nations catholic bishops issued the famous letter to their German counterparts, in which they forgave and asked for forgiveness?
",Poland,"['#Q Which nations catholic bishops issued the famous letter to their German counterparts, in which they forgave and asked for forgiveness?\n'
 '^ Poland\n' 'A Hungary\n' 'B Poland\n' 'C Romania\n'
 'D Czechoslovakia\n']"
"#Q What was the name of the organization of Central and Eastern European communist states, established as a counterweight against NATO?
",Warsaw Pact,"['#Q What was the name of the organization of Central and Eastern European communist states, established as a counterweight against NATO?\n'
 '^ Warsaw Pact\n' 'A Warsaw Pact\n' 'B Paris Treaties\n'
 'C Council of Mutual Economic Assistance\n' 'D National Peoples Army\n']"
"#Q In which country did the SolidarnoÅ›Ä‡ (Solidarity) movement start?
",Poland,"['#Q In which country did the SolidarnoÅ›Ä‡ (Solidarity) movement start?\n'
 '^ Poland\n' 'A East Germany\n' 'B Czechoslovakia\n' 'C Hungary\n'
 'D Poland\n']"
"#Q Which freedom movement leader was also a writer and dramatist?
",Vaclav Havel,"['#Q Which freedom movement leader was also a writer and dramatist?\n'
 '^ Vaclav Havel\n' 'A Vaclav Havel\n' 'B Mikhail Gorbatchev\n'
 'C Lech WaÅ‚Ä™sa\n' 'D Erich Honnecker\n']"
"#Q Which Pope was credited with igniting the freedom movement in Poland and eventually in the whole Eastern European region?
",John Paul II,"['#Q Which Pope was credited with igniting the freedom movement in Poland and eventually in the whole Eastern European region?\n'
 '^ John Paul II\n' 'A John Paul I\n' 'B Benedict XVI\n'
 'C John Paul II\n' 'D John XXIII\n']"
"#Q When did the Berlin Wall fall, ending symbolically the Cold War?
",1989,"['#Q When did the Berlin Wall fall, ending symbolically the Cold War?\n'
 '^ 1989\n' 'A 1991\n' 'B 1992\n' 'C 1990\n' 'D 1989\n']"
"#Q Which of these dictators was the last to die?
",Francisco Franco,"['#Q Which of these dictators was the last to die?\n'
 '^ Francisco Franco\n' 'A Francisco Franco\n' 'B Joseph Stalin\n'
 'C Benito Mussolini\n' 'D Adolph Hitler\n']"
"#Q On December 7, 1942 the Japanese attacked Pearl Harbor.
",False,"['#Q On December 7, 1942 the Japanese attacked Pearl Harbor.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q What prominent figure in Nazi Germany was Adolf Hitlers deputy in the Nazi Party?\n']"
"#Q What prominent figure in Nazi Germany was Adolf Hitlers deputy in the Nazi Party?
",Rudolph Hess,"['#Q What prominent figure in Nazi Germany was Adolf Hitlers deputy in the Nazi Party?\n'
 '^ Rudolph Hess\n' 'A Heinrich Himmler\n' 'B Rudolph Hess\n'
 'C None of these\n' 'D Joseph Goebbels\n']"
"#Q What is the only tank battle fought during the so called Winter War (1939-1940)?
",Battle of Honkaniemi,"['#Q What is the only tank battle fought during the so called Winter War (1939-1940)?\n'
 '^ Battle of Honkaniemi\n' 'A Battle of Honkaniemi\n'
 'B Battle of Narvik\n' 'C Battle of Dunkirk\n' 'D Battle of Kollaa\n']"
"#Q What effective submachine gun was also known as the Schmeisser?
",MP40,"['#Q What effective submachine gun was also known as the Schmeisser?\n'
 '^ MP40\n' 'A MG42\n' 'B MP40\n' 'C MP44\n' 'D MG32\n']"
"#Q Che Guevara was a Marxist revolutionary, who took part in the Cuban Revolution under the command of Fidel Castro. Where did Che Guevara die?
",Bolivia,"['#Q Che Guevara was a Marxist revolutionary, who took part in the Cuban Revolution under the command of Fidel Castro. Where did Che Guevara die?\n'
 '^ Bolivia\n' 'A Russia\n' 'B Argentina\n' 'C Cuba\n' 'D Bolivia\n']"
"#Q The French Revolution began in 1789 with the storming of this building and ended in 1799 after succeeding to overthrow the absolute monarchy in France.
",The Bastille prison,"['#Q The French Revolution began in 1789 with the storming of this building and ended in 1799 after succeeding to overthrow the absolute monarchy in France.\n'
 '^ The Bastille prison\n' 'A The Tuileries Palace\n'
 'B The Conciergerie\n' 'C The Bastille prison\n' 'D The Sorbonne\n']"
"#Q One of the events that led to the American Revolution was the Boston Tea Party. On 16 December 1773 a group of Boston residents (the group was called Sons of Liberty) destroyed the cargo of three British ships. Which one of these men didnt take part in the event?
",Samuel Graves,"['#Q One of the events that led to the American Revolution was the Boston Tea Party. On 16 December 1773 a group of Boston residents (the group was called Sons of Liberty) destroyed the cargo of three British ships. Which one of these men didnt take part in the event?\n'
 '^ Samuel Graves\n' 'A William Molineux\n' 'B Samuel Adams\n'
 'C Samuel Graves\n' 'D Leonard Pitt\n']"
"#Q The second stage of the Russian Revolution of 1917 was the October Revolution, the first communist revolution of the 20th century. This revolutionary led the assault on the Winter Palace.
",Vladimir Antonov-Ovseenko,"['#Q The second stage of the Russian Revolution of 1917 was the October Revolution, the first communist revolution of the 20th century. This revolutionary led the assault on the Winter Palace.\n'
 '^ Vladimir Antonov-Ovseenko\n' 'A Vladimir Antonov-Ovseenko\n'
 'B Vladimir Ilyich Ulyanov - Lenin\n'
 'C Iosif Vissarionovich Dzughashvili\n'
 'D Alexander Fedorovich Kerensky\n']"
"#Q The Great Cultural Revolution was a revolutionary uprising of students and workers in China, led by Mao Zedong. It officially ended in 1969, but there are statements that this period continued up until the arrest of the Gang Of Four. One of the founding members of the gang was Maos ____
",wife,"['#Q The Great Cultural Revolution was a revolutionary uprising of students and workers in China, led by Mao Zedong. It officially ended in 1969, but there are statements that this period continued up until the arrest of the Gang Of Four. One of the founding members of the gang was Maos ____\n'
 '^ wife\n' 'A brother\n' 'B wife\n' 'C son\n' 'D mother\n']"
"#Q Rosa Luxemburg and Karl Liebknecht took part in the German Revolution of 1919.
",True,"['#Q Rosa Luxemburg and Karl Liebknecht took part in the German Revolution of 1919.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q The Romanian Revolution of 1989 was a series of violent riots and protests. It aimed at overthrowing of the Communist regime of Nicolae Ceausescu. What was the name of Ceausescus wife, later executed together with her husband?\n']"
"#Q The Romanian Revolution of 1989 was a series of violent riots and protests. It aimed at overthrowing of the Communist regime of Nicolae Ceausescu. What was the name of Ceausescus wife, later executed together with her husband?
",Elena,"['#Q The Romanian Revolution of 1989 was a series of violent riots and protests. It aimed at overthrowing of the Communist regime of Nicolae Ceausescu. What was the name of Ceausescus wife, later executed together with her husband?\n'
 '^ Elena\n' 'A Elena\n' 'B Zoia\n' 'C Ana\n' 'D Lea\n']"
"#Q This rebellion broke in 1857 in _____, fighting against the British colonial control over the country. It is sometimes referred to as the Sepoy Mutiny or the Sepoy Rebellion.
",India,"['#Q This rebellion broke in 1857 in _____, fighting against the British colonial control over the country. It is sometimes referred to as the Sepoy Mutiny or the Sepoy Rebellion.\n'
 '^ India\n' 'A Niger\n' 'B Botswana\n' 'C India\n' 'D Australia\n']"
"#Q On 23 July 1961 the Sandinista National Liberation Front was organized in Nicaragua. This marked the beginning of the fight against the dictatorship of this family and led to the Nicaraguan Revolution.
",Somoza,"['#Q On 23 July 1961 the Sandinista National Liberation Front was organized in Nicaragua. This marked the beginning of the fight against the dictatorship of this family and led to the Nicaraguan Revolution.\n'
 '^ Somoza\n' 'A Somoza\n' 'B Amador\n' 'C Ortega\n' 'D Saavedra\n']"
"#Q In the beginning of the 19th century, Simon Bolivar fought for the independence of countries like Venezuela, Colombia, Ecuador, Peru, Panama and Bolivia. On 24 July 1983 this man founded the Movimiento Bolivariano Revolucionario 200 in Venezuela and 15 years later, became president.
",Hugo Chavez,"['#Q In the beginning of the 19th century, Simon Bolivar fought for the independence of countries like Venezuela, Colombia, Ecuador, Peru, Panama and Bolivia. On 24 July 1983 this man founded the Movimiento Bolivariano Revolucionario 200 in Venezuela and 15 years later, became president.\n'
 '^ Hugo Chavez\n' 'A Pedro Carmona\n' 'B Hugo Chavez\n'
 'C Francisco de Miranda\n' 'D Carlos Andres Perez\n']"
"#Q Who was the first Russian tsar of the Romanov dynasty?
",Michael,"['#Q Who was the first Russian tsar of the Romanov dynasty?\n'
 '^ Michael\n' 'A Nicholas\n' 'B Alexander\n' 'C Michael\n' 'D Serge\n']"
"#Q What city was the Russian capital before Tsar Peter the Great founded St. Petersburg?
",Moscow,"['#Q What city was the Russian capital before Tsar Peter the Great founded St. Petersburg?\n'
 '^ Moscow\n' 'A Odessa\n' 'B Moscow\n' 'C Kiev\n' 'D Novgorad\n']"
"#Q Which ruler was crowned the first Tsar of All the Russias?
",Ivan the Terrible,"['#Q Which ruler was crowned the first Tsar of All the Russias?\n'
 '^ Ivan the Terrible\n' 'A Boris Gudunov\n' 'B Peter the Great\n'
 'C Ivan the Great\n' 'D Ivan the Terrible\n']"
"#Q By the time Nicholas II was crowned tsar in 1896, the Russian Empire was the largest country in the world.
",True,"['#Q By the time Nicholas II was crowned tsar in 1896, the Russian Empire was the largest country in the world.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q Who was Empress of Russia from 1741 to 1762?\n']"
"#Q Who was Empress of Russia from 1741 to 1762?
",Elizabeth,"['#Q Who was Empress of Russia from 1741 to 1762?\n' '^ Elizabeth\n'
 'A Alexandra\n' 'B Sophia\n' 'C Elizabeth\n' 'D Anne\n']"
"#Q Which Russian Empress brought Rasputin into the center of the Imperial court?
",Alexandra,"['#Q Which Russian Empress brought Rasputin into the center of the Imperial court?\n'
 '^ Alexandra\n' 'A Alexandra\n' 'B Maria\n' 'C Catherine\n'
 'D Elizabeth\n']"
"#Q What was Tsarskoye Selo?
",The residence of the imperial family south of St. Petersburg,"['#Q What was Tsarskoye Selo?\n'
 '^ The residence of the imperial family south of St. Petersburg\n'
 'A The Tsarist legislature\n'
 'B The residence of the imperial family south of St. Petersburg\n'
 'C The site of a famous Russian battle\n'
 'D The true last name of the members of the Romanov dynasty\n']"
"#Q What American product from the 50s was advertised with roadside signs reading slogans such as:
",The place to pass,"['#Q What American product from the 50s was advertised with roadside signs reading slogans such as:\n'
 'The place to pass\n' 'On curves\n' 'You know\n' 'Is only at\n'
 'A beauty show?\n']"
"#Q The average income in the United States in 1952 was $3,515.00. What was the average price of a house at that time?
","$16,800.00","['#Q The average income in the United States in 1952 was $3,515.00. What was the average price of a house at that time?\n'
 '^ $16,800.00\n' 'A $2,000.00\n' 'B $16,800.00\n' 'C $50,000.00\n'
 'D $10,000.00\n']"
"#Q In what year was the first microwave oven manufactured by Tappan and offered in the USA for $1300.00?
",1955,"['#Q In what year was the first microwave oven manufactured by Tappan and offered in the USA for $1300.00?\n'
 '^ 1955\n' 'A 1957\n' 'B 1955\n' 'C 1954\n' 'D 1956\n']"
"#Q In 1956 Bette Nesmith Graham invented Mistake Out which later became known by what name?
",Liquid Paper,"['#Q In 1956 Bette Nesmith Graham invented Mistake Out which later became known by what name?\n'
 '^ Liquid Paper\n' 'A Liquid Paper\n' 'B Post-it Notes\n'
 'C Erasermate Pens\n' 'D White Out\n']"
"#Q The song American Pie by Don McLean concerns a plane crash which took place on February 3, 1959.
",True,"['#Q The song American Pie by Don McLean concerns a plane crash which took place on February 3, 1959.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q A musical version of Carrie, the Stephen King story, was a huge flop on Broadway.\n']"
"#Q A musical version of Carrie, the Stephen King story, was a huge flop on Broadway.
",True,"['#Q A musical version of Carrie, the Stephen King story, was a huge flop on Broadway.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q Which of these was NOT a Broadway flop?\n']"
"#Q Which of these was NOT a Broadway flop?
",The Medusa (1981),"['#Q Which of these was NOT a Broadway flop?\n' '^ The Medusa (1981)\n'
 'A Teaneck Tanzi: The Venus Fly Trap (1983)\n' 'B Frankenstein (1981)\n'
 'C The Medusa (1981)\n' 'D Moose Murders( 1983)\n']"
"#Q In 1991 Pfizer came out with the medicine Sildenafil, designed to stop angina pectoris. It was a flop as it had little effect on angina. What was good about this medicine?
",It lead to the development of Viagra.,"['#Q In 1991 Pfizer came out with the medicine Sildenafil, designed to stop angina pectoris. It was a flop as it had little effect on angina. What was good about this medicine?\n'
 '^ It lead to the development of Viagra.\n'
 'A It lead to the development of Oxycontin.\n'
 'B It was an inexpensive medicine that could lower LDL cholesterol.\n'
 'C It was an inexpensive medicine that could lower HDL cholesterol.\n'
 'D It lead to the development of Viagra.\n']"
"#Q In 1993 Chevy Chase got his own talk show. How many episodes of The Chevy Chase Show were aired?
",one,"['#Q In 1993 Chevy Chase got his own talk show. How many episodes of The Chevy Chase Show were aired?\n'
 '^ one\n' 'A one\n' 'B four\n' 'C three\n' 'D two\n']"
"#Q This great 1949 movie was remade into a 2006 movie flop starring Sean Penn,  James Gandolfini, Kate Winslet, Jude Law, and Anthony Hopkins.
",All the Kings Men,"['#Q This great 1949 movie was remade into a 2006 movie flop starring Sean Penn,  James Gandolfini, Kate Winslet, Jude Law, and Anthony Hopkins.\n'
 '^ All the Kings Men\n' 'A The Interpreter\n' 'B Crossing Over\n'
 'C 21 Grams\n' 'D All the Kings Men\n']"
"#Q Which of these was NOT an invention idea on Seinfeld?
",An alarm clock that told you the sports scores when it went off.,"['#Q Which of these was NOT an invention idea on Seinfeld?\n'
 '^ An alarm clock that told you the sports scores when it went off.\n'
 'A A shaker that had both ketchup and mustard\n'
 'B A Pakistani restaurant in Manhattan\n'
 'C A rubber oil container to help fight oil spills\n'
 'D An alarm clock that told you the sports scores when it went off.\n']"
"#Q How long was the Hundred Years War?
",116 years,"['#Q How long was the Hundred Years War?\n' '^ 116 years\n'
 'A 116 years\n' 'B 80 years\n' 'C 101 years\n' 'D 100 years\n']"
"#Q You probably know the term Blitzkrieg (lightning war), which refers to a quick invasion. But what does Sitzkrieg mean?
",Sitting War,"['#Q You probably know the term Blitzkrieg (lightning war), which refers to a quick invasion. But what does Sitzkrieg mean?\n'
 '^ Sitting War\n' 'A Sitting War\n' 'B Cold War\n' 'C Slowly War\n'
 'D Long War\n']"
"#Q Which ancient countries battled each other during the Punic Wars?
",Rome and Carthage,"['#Q Which ancient countries battled each other during the Punic Wars?\n'
 '^ Rome and Carthage\n' 'A Athens and Sparta\n' 'B Macedonia and Egypt\n'
 'C Greece and Persia\n' 'D Rome and Carthage\n']"
"#Q Which war was fought by El Salvador and Honduras in 1969?
",Football War,"['#Q Which war was fought by El Salvador and Honduras in 1969?\n'
 '^ Football War\n' 'A Basketball War\n' 'B Football War\n'
 'C Rugby War\n' 'D Baseball War\n']"
"#Q There have been many wars in the Balkans. Which one was known as the First Balkan War?
","The war between the Balkan League (Serbia, Montenegro, Greece and Bulgaria) and the Ottoman Empire in 1912-13","['#Q There have been many wars in the Balkans. Which one was known as the First Balkan War?\n'
 '^ The war between the Balkan League (Serbia, Montenegro, Greece and Bulgaria) and the Ottoman Empire in 1912-13\n'
 'A The war between the Balkan League (Serbia, Montenegro, Greece and Bulgaria) and the Ottoman Empire in 1912-13\n'
 'B The war in Bosnia and Herzegovina after the breakup of Yugoslavia in 1992\n'
 'C The Greek War of Independence in 1821\n' 'D World War I\n']"
"#Q Which wars were fought in XV century England?
",Wars of the Roses,"['#Q Which wars were fought in XV century England?\n'
 '^ Wars of the Roses\n' 'A Wars of the Tulips\n' 'B Wars of the Roses\n'
 'C Wars of the Sunflowers\n' 'D Wars of the Lilies\n']"
"#Q Against which country were the two Gulf Wars fought?
",Iraq,"['#Q Against which country were the two Gulf Wars fought?\n' '^ Iraq\n'
 'A Israel\n' 'B Iran\n' 'C Vietnam\n' 'D Iraq\n']"
"#Q The Boer Wars were fought by the British Empire against which colonists?
",Dutch in South Africa,"['#Q The Boer Wars were fought by the British Empire against which colonists?\n'
 '^ Dutch in South Africa\n' 'A French in Louisiana\n'
 'B Spanish in the Caribbean\n' 'C Portuguese in India\n'
 'D Dutch in South Africa\n']"
"#Q Which wars are known as Reconquista?
",The expansion of Christian kingdoms at the expense of Muslim states on the Iberian Peninsula,"['#Q Which wars are known as Reconquista?\n'
 '^ The expansion of Christian kingdoms at the expense of Muslim states on the Iberian Peninsula\n'
 'A The conquering of todays Latin America by Spain and Portugal\n'
 'B The war between US and Mexico in the beginning of the XIX century\n'
 'C The colonization of the Indian Peninsula by Portuguese, Dutch and later British colonists\n'
 'D The expansion of Christian kingdoms at the expense of Muslim states on the Iberian Peninsula\n']"
"#Q Against which of the following were the medieval Crusades fought?
",Against anybody the Pope would declare an enemy,"['#Q Against which of the following were the medieval Crusades fought?\n'
 '^ Against anybody the Pope would declare an enemy\n'
 'A Against Jewish communities across Europe only\n'
 'B Against Moors on the Iberian Peninsula only\n'
 'C Against Turks in the Holy Land only\n'
 'D Against anybody the Pope would declare an enemy\n']"
"#Q Were was the First Turkish-Portuguese War fought in 1509?
",In the Indian Ocean,"['#Q Were was the First Turkish-Portuguese War fought in 1509?\n'
 '^ In the Indian Ocean\n' 'A In the Indian Ocean\n' 'B In Portugal\n'
 'C In Turkey\n' 'D On Cyprus and other islands of the Mediterranean\n']"
"#Q After the 80 Years War (XVI-XVII century) a new colonial power was born in Europe. Which one?
",The Netherlands,"['#Q After the 80 Years War (XVI-XVII century) a new colonial power was born in Europe. Which one?\n'
 '^ The Netherlands\n' 'A Spain\n' 'B Portugal\n' 'C Germany\n'
 'D The Netherlands\n']"
"#Q This singer, who sang the theme song for Rawhide, died on 6th February 2007 at the age of 93.
",Frankie Laine,"['#Q This singer, who sang the theme song for Rawhide, died on 6th February 2007 at the age of 93.\n'
 '^ Frankie Laine\n' 'A Frankie Vallee\n' 'B Lorne Greene\n'
 'C Frankie Laine\n' 'D Frankie Avalon\n']"
"#Q Name the author of Slaughterhouse-Five who died April 11th 2007 at the age of 84.
",Kurt Vonnegut,"['#Q Name the author of Slaughterhouse-Five who died April 11th 2007 at the age of 84.\n'
 '^ Kurt Vonnegut\n' 'A Mickey Rourke\n' 'B Kurt Vonnegut\n'
 'C Art Buchwald\n' 'D Kurt Waldheim\n']"
"#Q She was Miss Moneypenny in 14 of the James Bond films.
",Lois Maxwell,"['#Q She was Miss Moneypenny in 14 of the James Bond films.\n'
 '^ Lois Maxwell\n' 'A Lon Andrews\n' 'B Catherine Snab\n'
 'C Sydney Andrews\n' 'D Lois Maxwell\n']"
"#Q She was Esmeralda on Bewitched.
",Alice Ghostley,"['#Q She was Esmeralda on Bewitched.\n' '^ Alice Ghostley\n'
 'A Alice Ghostley\n' 'B Angela Riverton\n' 'C Cathy Bates\n'
 'D Angela Channing\n']"
"#Q He was 69 at the time of his death in April 2007. He sang Monster Mash. You remember, it was a graveyard smash.
",Boris Pickett,"['#Q He was 69 at the time of his death in April 2007. He sang Monster Mash. You remember, it was a graveyard smash.\n'
 '^ Boris Pickett\n' 'A Bobby Pickens\n' 'B Bobby Picks\n'
 'C Boris Pickett\n' 'D Boris Pickens\n']"
"#Q Who was the patron of Athens during its Golden Age?
",Pericles,"['#Q Who was the patron of Athens during its Golden Age?\n' '^ Pericles\n'
 'A Plato\n' 'B Pericles\n' 'C Alexander the Great\n' 'D Socrates\n']"
"#Q The Golden age of Athens occurred between which two wars?
",Persian and Peloponnesian,"['#Q The Golden age of Athens occurred between which two wars?\n'
 '^ Persian and Peloponnesian\n' 'A Punic and Peloponnesian\n'
 'B Peloponnesian and Spartan\n' 'C Spartan and Punic\n'
 'D Persian and Peloponnesian\n']"
"#Q Socrates started the first true school of philosophy.
",False,"['#Q Socrates started the first true school of philosophy.\n' '^ False\n'
 'A False\n' 'B True\n' '\n'
 '#Q What was the name of the famous market place in Athens?\n']"
"#Q What was the name of the famous market place in Athens?
",Agora,"['#Q What was the name of the famous market place in Athens?\n'
 '^ Agora\n' 'A Acropolis\n' 'B Agora\n' 'C Academia\n' 'D Lyceum\n']"
"#Q During which war did the Battle of Marathon take place?
",Persian,"['#Q During which war did the Battle of Marathon take place?\n'
 '^ Persian\n' 'A Peloponnesian\n' 'B Parthian\n' 'C Punic\n'
 'D Persian\n']"
"#Q What kind of government did Athens have during the Golden Age?
",Direct Democracy,"['#Q What kind of government did Athens have during the Golden Age?\n'
 '^ Direct Democracy\n' 'A Direct Democracy\n' 'B Aristocracy\n'
 'C Absolute Monarchy\n' 'D Oligarchy\n']"
"#Q Hippocrates was known as the father of history.
",False,"['#Q Hippocrates was known as the father of history.\n' '^ False\n'
 'A False\n' 'B True\n' '\n'
 '#Q Which of the following was NOT an order of Greek column?\n']"
"#Q Which of the following was NOT an order of Greek column?
",Ostrakon,"['#Q Which of the following was NOT an order of Greek column?\n'
 '^ Ostrakon\n' 'A Corinthian\n' 'B Ostrakon\n' 'C Ionic\n' 'D Doric\n']"
"#Q Which playwright of Ancient Greece is generally regarded as the father of drama?
",Aeschylus,"['#Q Which playwright of Ancient Greece is generally regarded as the father of drama?\n'
 '^ Aeschylus\n' 'A Socrates\n' 'B Sophocles\n' 'C Aeschylus\n'
 'D Aristophanes\n']"
"#Q This was a 1961 United States-planned and funded landing, which aimed at overthrowing the government of Fidel Castro, marked the climax of anti-Cuban US actions during  the Cold War. What was the name of this invasion?
",The Bay of Pigs invasion,"['#Q This was a 1961 United States-planned and funded landing, which aimed at overthrowing the government of Fidel Castro, marked the climax of anti-Cuban US actions during  the Cold War. What was the name of this invasion?\n'
 '^ The Bay of Pigs invasion\n' 'A The Bay of Cows invasion\n'
 'B The Bay of Cattle invasion\n' 'C The Bay of  Dogs invasion\n'
 'D The Bay of Pigs invasion\n']"
"#Q Who was the Soviet General Secretary during the Cuban Missile Crisis in October 1962?
",Nikita Khrushchev,"['#Q Who was the Soviet General Secretary during the Cuban Missile Crisis in October 1962?\n'
 '^ Nikita Khrushchev\n' 'A Joseph Stalin\n' 'B Nikita Khrushchev\n'
 'C Nikolai Bulganin\n' 'D Leonid Brezhnev\n']"
"#Q During the period of the Cold War, there was a conflict between the Democratic Republic of Vietnam and Republic of Vietnam, known as The Vietnam War (1957â€“1975).
",True,"['#Q During the period of the Cold War, there was a conflict between the Democratic Republic of Vietnam and Republic of Vietnam, known as The Vietnam War (1957â€“1975).\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q The Soviet war in Afghanistan which started in 1979, continued for how many years?\n']"
"#Q The Soviet war in Afghanistan which started in 1979, continued for how many years?
",9 years,"['#Q The Soviet war in Afghanistan which started in 1979, continued for how many years?\n'
 '^ 9 years\n' 'A 2 years\n' 'B 7 years\n' 'C 9 years\n' 'D 5 years\n']"
"#Q Which of these countries was not part of the Warsaw Pact of 1955 ?
",Yugoslavia,"['#Q Which of these countries was not part of the Warsaw Pact of 1955 ?\n'
 '^ Yugoslavia\n' 'A Romania\n' 'B Czechoslovakia\n' 'C Poland\n'
 'D Yugoslavia\n']"
"#Q What was the name of the political liberalization in Czechoslovakia, which started on January 5 and lasted until August 20, 1968?
",Prague Spring,"['#Q What was the name of the political liberalization in Czechoslovakia, which started on January 5 and lasted until August 20, 1968?\n'
 '^ Prague Spring\n' 'A Prague Autumn\n' 'B Prague Summer\n'
 'C Prague Winter\n' 'D Prague Spring\n']"
"#Q The Autumn of Nations is the series of events in Central and Eastern Europe in the autumn of 1989, when the communist regime in satellite states of the Soviet Union, collapsed within a  few months, marking the end of the Cold War.
",True,"['#Q The Autumn of Nations is the series of events in Central and Eastern Europe in the autumn of 1989, when the communist regime in satellite states of the Soviet Union, collapsed within a  few months, marking the end of the Cold War.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q Which one of these countries was not one of the Allies during WW II?\n']"
"#Q Which one of these countries was not one of the Allies during WW II?
",Italy,"['#Q Which one of these countries was not one of the Allies during WW II?\n'
 '^ Italy\n' 'A France\n' 'B Poland\n' 'C United Kingdom\n' 'D Italy\n']"
"#Q WW II broke out in 1939 with the German invasion of Poland. What month did this invasion take place?
",September,"['#Q WW II broke out in 1939 with the German invasion of Poland. What month did this invasion take place?\n'
 '^ September\n' 'A March\n' 'B September\n' 'C December\n' 'D February\n']"
"#Q The North African Campaign, also known as The Desert War, began in 1940. It included campaigns fought in several African countries. Which of the following was not one of the locations of the North African Campaign?
",South Africa,"['#Q The North African Campaign, also known as The Desert War, began in 1940. It included campaigns fought in several African countries. Which of the following was not one of the locations of the North African Campaign?\n'
 '^ South Africa\n' 'A Algeria\n' 'B South Africa\n' 'C Egypt\n'
 'D Libya\n']"
"#Q Operation Barbarossa, which began on June 22, 1941, was the code name of the German invasion of which country?
",the Soviet Union,"['#Q Operation Barbarossa, which began on June 22, 1941, was the code name of the German invasion of which country?\n'
 '^ the Soviet Union\n' 'A Denmark\n' 'B the Netherlands\n'
 'C Luxembourg\n' 'D the Soviet Union\n']"
"#Q What does the German word Blitzkrieg mean?
",lightning war,"['#Q What does the German word Blitzkrieg mean?\n' '^ lightning war\n'
 'A holy war\n' 'B lightning war\n' 'C patriotic war\n' 'D speed war\n']"
"#Q When did the United States enter World War II?
",1941,"['#Q When did the United States enter World War II?\n' '^ 1941\n'
 'A 1942\n' 'B 1940\n' 'C 1943\n' 'D 1941\n']"
"#Q In 1945, Churchill, Stalin and Roosevelt made arrangements for post-war Europe. Where did the conference take place?
",Yalta,"['#Q In 1945, Churchill, Stalin and Roosevelt made arrangements for post-war Europe. Where did the conference take place?\n'
 '^ Yalta\n' 'A Versailles\n' 'B Hawaii\n' 'C Yalta\n' 'D Warsaw\n']"
