Question,Answer,Options,Correct
"if the capacity of a cylindrical tank is 1848 m 3 and the diameter of its base is 14 m , then find the depth of the tank .",12,"['a ) 10', 'b ) 11', 'c ) 12', 'd ) 13', 'e ) none of them']",c
"if a train , travelling at a speed of 160 kmph , crosses a pole in 18 sec , then the length of train is ?",800,"a ) 800 , b ) 125 , c ) 288 , d ) 266 , e ) 121",a
a tank is 25 m long 12 m wide and 6 m deep . the cost of plastering its walls and bottom at 45 paise per sq m is,334.80,"a ) rs . 234.80 , b ) rs . 334.80 , c ) rs . 434.80 , d ) rs . 534.80 , e ) none of these",b
"a man rows his boat 120 km downstream and 60 km upstream , taking 2 hours each time . find the speed of the stream ?",15,"a ) 6 , b ) 15 , c ) 17 , d ) 18 , e ) 2",b
"my grandson is about as many days as my son in weeks , and my grandson is as many months as i am in years . my grandson , my son and i together are 150 years . can you tell my son age in years ?",53,"a ) 63 years , b ) 60 years , c ) 50 years , d ) 53 years , e ) 46 years",d
"in a race of 1000 m , a can beat by 100 m , in a race of 800 m , b can beat c by 100 m . by how many meters will a beat c in a race of 900 m ?",191.25,"a ) 122.9 m , b ) 127.5 m . , c ) 191.25 m , d ) 222.9 m , e ) 12289 m",c
"if rs . 7500 are borrowed at c . i at the rate of 4 % per annum , then after 3 years the amount to be paid is ?",8436,"a ) 3377 , b ) 2688 , c ) 2688 , d ) 8436 , e ) 1268",d
two friends decide to get together ; so they start riding bikes towards each other . they plan to meet halfway . each is riding at 6 mph . they live 36 miles apart . one of them has a pet carrier pigeon and it starts flying the instant the friends start traveling . the pigeon flies back and forth at 21 mph between the 2 friends until the friends meet . how many miles does the pigeon travel ?,63,"a ) 54 , b ) 66 , c ) 68 , d ) 60 , e ) 63",e
"the sum of number of boys and girls in a school is 400 . if the number of boys is x , then the number of girls becomes x % of the total number of students . the number of boys is ?",80,"a ) 50 , b ) 40 , c ) 60 , d ) 80 , e ) 70",d
"the h . c . f . of two numbers is 12 and their l . c . m . is 600 . if one of the number is 30 , find the other ?",240,"a ) 100 , b ) 240 , c ) 120 , d ) 200 , e ) 150",b
for covering 88 km a wheel revolve 1000 times . what is the radius of wheel ?,28,"a ) 14 m , b ) 24 m , c ) 28 m , d ) 40 m , e ) none of the above",c
a car covers a distance of 642 km in 6 ½ hours . find its speed ?,107,"a ) 104 kmph , b ) 176 kmph , c ) 298 kmph , d ) 186 kmph , e ) 107 kmph",e
a can complete a certain job in 18 days . b is 80 % more efficient than a . in how many days can b complete the same job ?,10,"a ) 6 , b ) 6.25 , c ) 7 , d ) 7.5 , e ) 10",e
"i sold a book at a profit of 12 % . had i sold it for $ 18 more , 18 % would have been gained . find the cost price ?",300,"a ) $ 100 , b ) $ 250 , c ) $ 300 , d ) $ 200 , e ) $ 180",c
the speed of a boat in still water is 20 km / hr and the rate of current is 5 km / hr . the distance travelled downstream in 21 minutes is :,8.75,"a ) 9.75 , b ) 5.75 , c ) 8.75 , d ) 6.75 , e ) 5.15",c
"a retailer buys 40 pens at the market price of 36 pens from a wholesaler , if he sells these pens giving a discount of 1 % , what is the profit % ?",10,"a ) 5 , b ) 10 , c ) 15 , d ) 20 , e ) none of them",b
given a circular wheel of 3.62 m radius how many revolutions will the will make to travel a distance of 1 km ?,22754.3,"a ) 22754.3 , b ) 22254.2 , c ) 25754.2 , d ) 22753.2 , e ) 22254.2",a
find the least number must be subtracted from 427398 so that remaining no . is divisible by 15 ?,3,"a ) 2 , b ) 3 , c ) 5 , d ) 7 , e ) 8",b
"if the true discount on a sum due 2 years hence at 14 % per annum be rs . 168 , the sum due is :",768,"a ) rs . 768 , b ) rs . 968 , c ) rs . 1960 , d ) rs . 2400 , e ) none",a
"the difference between the ages of two persons is 30 years . fifteen years ago , the elder one was twice as old as the younger one . the present age of the younger person is ?",45,"a ) 30 yr , b ) 25 yr , c ) 45 yr , d ) 40 yr , e ) 50 yr",c
"a store owner estimates that the average price of type a products will increase by 20 % next year and that the price of type b products will increase by 11 % next year . this year , the total amount paid for type a products was $ 3500 and the total price paid for type b products was $ 8600 . according to the store owner ' s estimate , and assuming the number of products purchased next year remains the same as that of this year , how much will be spent for both products next year ?",13,"a ) $ 13,746 , b ) $ 15,325 , c ) $ 16,000 , d ) $ 16,225 , e ) $ 17,155",a
"a soft drink company had 6000 small and 10000 big bottles in storage . if 12 % of small 15 % of big bottles have been sold , then the total bottles remaining in storage is",13780,"a ) 15360 , b ) 13780 , c ) 15060 , d ) 14930 , e ) 16075",b
the average marks of 25 students in a class is 100 . but a student mark is wrongly noted as 60 instead of 10 then find the correct average marks ?,98,"a ) a ) 78 , b ) b ) 82 , c ) c ) 98 , d ) d ) 91 , e ) e ) 85",c
"what is the sum of the local values of the digits 2 , 3 , 4 , 5 in the number 2345 ?",2345,"a ) 2345 , b ) 4500 , c ) 5000 , d ) 6000 , e ) 7000",a
"a started a business with an investment of rs . 70000 and after 6 months b joined him investing rs . 120000 . if the profit at the end of a year is rs . 91000 , then the share of b is ?",42000,"a ) a ) 44500 , b ) b ) 42000 , c ) c ) 44098 , d ) d ) 43007 , e ) e ) 44098",b
54671 - 14456 - 33490 = ?,6725,"a ) 2449 , b ) 5449 , c ) 6749 , d ) 6725 , e ) 6468",d
"if p and q are positive integers each greater than 1 , and 17 ( p + 1 ) = 28 ( q + 1 ) , what is the least possible value of p + q ?",43,"a ) 36 , b ) 42 , c ) 44 , d ) 43 , e ) none",d
what is the area of square field whose side of length 8 m ?,64,"a ) 225 , b ) 64 , c ) 772 , d ) 882 , e ) 21",b
"a thief is spotted by a policeman from a distance of 225 meters . when the policeman starts the chase , the thief also starts running . if the speed of the thief be 8 km / hr and that of the policeman 10 km / hr , how far the thief will have run before he is overtaken ?",900,"a ) 350 m , b ) 200 m , c ) 400 m , d ) 900 m , e ) none of them",d
"mary works 9 hours per day on monday , wednesday and friday , and 5 hours per day on tuesday and thursday . she does not work on saturday and sunday . she earns $ 407 per week . how much does she earn in dollars per hour ?",11,"a ) 12 , b ) 10 , c ) 9 , d ) 8 , e ) 11",e
when a number is divided by 4 & then multiply by 12 the answer is 9 what is the no . ?,3,"a ) 3 , b ) 5 , c ) 5.6 , d ) 5.7 , e ) 6.5",a
"a toy store ' s revenue in november was 3 / 5 of its revenue in december and its revenue in january was 3 / 4 of its revenue in november , then the store ' s revenue in december was how many times the average ( arithmetic mean ) of its revenues in november and january ?",2,"a ) 1 / 4 , b ) 1 / 2 , c ) 2 / 3 , d ) 2 , e ) 4",d
"of the goose eggs laid at a certain pond , 1 / 4 hatched and 4 / 5 of the geese that hatched from those eggs survived the first month . of the geese that survived the first month , 2 / 5 did not survive the first year . if 120 geese survived the first year and if no more than one goose hatched from each egg , how many goose eggs were laid at the pond ?",1000,"a ) 600 , b ) 700 , c ) 800 , d ) 900 , e ) 1000",e
calculate the average of first 18 even numbers is ?,19,"a ) 21 , b ) 29 , c ) 19 , d ) 14 , e ) 10",c
"an empty fuel tank with a capacity of 200 gallons was filled partially with fuel a and then to capacity with fuel b . fuel a contains 12 % ethanol by volume and fuel b contains 16 % ethanol by volume . if the full fuel tank contains 22 gallons of ethanol , how many gallons of fuel a were added ?",250,"a ) 160 , b ) 150 , c ) 250 , d ) 80 , e ) 50",c
"in a class of 36 students 26 play football and play 20 long tennis , if 17 play above , many play neither ?",7,"a ) 7 , b ) 8 , c ) 10 , d ) 12 , e ) 14",a
"on dividing a number by 56 , we get 29 as remainder . on dividing the same number by 8 , what will be the remainder ?",5,"a ) 5 , b ) 7 , c ) 9 , d ) 11 , e ) 12",a
"given that p is a positive even integer with a positive units digit , if the units digit of p ^ 3 minus the units digit of p ^ 2 is equal to 0 , what is the units digit of p + 2 ?",8,"a ) 7 , b ) 8 , c ) 9 , d ) 10 , e ) 11",b
dan ' s age after 18 years will be 5 times his age 6 years ago . what is the present age of dan ?,12,"a ) 8 , b ) 10 , c ) 12 , d ) 14 , e ) 16",c
"the end of a blade on an airplane propeller is 10 feet from the center . if the propeller spins at the rate of 1,980 revolutions per second , how many miles will the tip of the blade travel in one minute ? ( 1 mile = 5,280 feet )",450,"a ) 200 π , b ) 450 π , c ) 300 π , d ) 480 π , e ) 1,200 π",b
"if 5 % more is gained by selling an article for rs . 420 than by selling it for rs . 380 , the cost of the article is ?",800,"a ) 500 , b ) 688 , c ) 200 , d ) 121 , e ) 800",e
the area of a square is equal to five times the area of a rectangle of dimensions 36 cm * 20 cm . what is the perimeter of the square ?,240,"a ) 289 cm , b ) 800 cm , c ) 829 cm , d ) 240 cm , e ) 289 cm",d
"each of the 39 points is placed either inside or on the surface of a perfect sphere . if 72 % or fewer of the points touch the surface , what is the maximum number of segments which , if connected from those points to form chords , could be the diameter of the sphere ?",14,"a ) 7 , b ) 11 , c ) 13 , d ) 14 , e ) 38",d
"in the coordinate plane , one of the vertices of a square is the point ( - 4 , - 4 ) . if the diagonals of that square intersect at point ( 3 , 2 ) , what is the area of that square ?",196,"a ) 180 , b ) 196 , c ) 160 , d ) 164 , e ) 172",b
a policeman noticed a criminal from a distance of 180 km . the criminal starts running and the policeman chases him . the criminal and the policeman run at the rate of 8 km and 10 km per hour respectively . what is the distance between them after 3 minutes ?,80,"a ) 100 m , b ) 80 m , c ) 130 m , d ) 150 m , e ) none of these",b
"a square mirror has exactly half the area of the rectangular wall on which it is hung . if each side of the mirror is 24 inches and the width of the wall is 42 inches , what is the length of the wall , in inches ?",27.4,"a ) 21.4 , b ) 23.4 , c ) 25.4 , d ) 26.4 , e ) 27.4",e
"if 22 men do a work in 55 days , in how many days will 10 men do it ?",121,"a ) 121 , b ) 123 , c ) 119 , d ) 125 , e ) 127",a
"the sum of digits of a two digit number is 10 , the difference between the digits is 6 . find the number",82,"a ) 85 , b ) 94 , c ) 82 , d ) 72 , e ) none",c
"tough and tricky questions : word problems . a salesman ' s income consists of commission and base salary . his weekly income totals over the past 5 weeks have been $ 406 , $ 413 , $ 420 , $ 436 and $ 395 . what must his average ( arithmetic mean ) income over the next two weeks be to decrease his average weekly income to $ 400 over the 7 - week period ?",365,"a ) $ 350 , b ) $ 400 , c ) $ 365 , d ) $ 385 , e ) $ 375",c
"a man walks at a rate of 10 mph . after every ten miles , he rests for 6 minutes . how much time does he take to walk 40 miles ?",258,"a ) 258 , b ) 318 , c ) 322 , d ) 324 , e ) 330",a
"while working alone at their constant rates , computer x can process 240 files in 12 hours , and computer y can process 240 files in 4 hours . if all files processed by these computers are the same size , how many hours would it take the two computers , working at the same time at their respective constant rates , to process a total of 240 files ?",3,"a ) 2 , b ) 2.4 , c ) 2.7 , d ) 3 , e ) 3.5",d
"let s be the set of all positive integers that , when divided by 8 , have a remainder of 5 . what is the 72 th number in this set ?",573,"a ) 573 , b ) 608 , c ) 613 , d ) 616 , e ) 621",a
how many positive integers will divide evenly into 190 ?,8,"a ) 4 , b ) 6 , c ) 8 , d ) 12 , e ) 16",c
"solution x is 10 percent alcohol by volume , and solution y is 30 percent alcohol by volume . how many milliliters of solution y must be added to 50 milliliters of solution x to create a solution that is 25 percent alcohol by volume ?",150,"a ) 150 , b ) 500 / 3 , c ) 400 , d ) 480 , e ) 600",a
"in a certain quiz that consists of 10 questions , each question after the first is worth 4 points more than the preceding question . if the 10 questions on the quiz are worth a total of 400 points , how many points is the third question worth ?",30,"a ) 14 , b ) 18 , c ) 22 , d ) 26 , e ) 30",e
"shipment - - - no . of defective chips / shipment - - - total chips in shipment s 1 - - - - - - - - - - - - - - - - - - - - - - 2 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 5000 s 2 - - - - - - - - - - - - - - - - - - - - - - 4 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 12000 s 3 - - - - - - - - - - - - - - - - - - - - - - 2 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 15000 s 4 - - - - - - - - - - - - - - - - - - - - - - 4 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 16000 a computer chip manufacturer expects the ratio of the number of defective chips to the total number of chips in all future shipments to equal the corresponding ratio for shipments s 1 , s 2 , s 3 , and s 4 combined , as shown in the table above . what ’ s the expected number of defective chips in a shipment of 60000 chips ?",15,"a ) 14 , b ) 20 , c ) 22 , d ) 24 , e ) 15",e
3 / 4 of 1 / 2 of 2 / 5 of 5020 = ?,753,"a ) 392 , b ) 229 , c ) 753 , d ) 493 , e ) 540",c
a train running at a speed of 36 kmph crosses an electric pole in 12 seconds . in how much time will it cross a 360 m long platform ?,48,"a ) 19 , b ) 27 , c ) 29 , d ) 48 , e ) 28",d
"an auto assembly plant performs 6 functions with each frame that arrives : add axles , add wheels to the axles , install the windshield to the frame , install the instrument panel , install the steering wheel , and install the interior seating . once those 6 tasks are performed , each car goes to a separate building for finishing touches . if these tasks can be arranged along a linear assembly line in any order , except that the axles must be installed before the wheels can be added , how many t ways can the assembly line be arranged ?",360,"a ) 120 , b ) 240 , c ) 360 , d ) 480 , e ) 720",c
three numbers are in the ratio 1 : 4 : 6 and their h . c . f is 9 . the numbers are :,24,"a ) 1 , 4,6 , b ) 12 , 24,36 , c ) 10 , 20 , 30 , d ) 12 , 24 , 36 , e ) 9 , 36,54 .",e
the average marks of a class of 30 students is 30 and that of another class of 50 students is 60 . find the average marks of all the students ?,48.75,"a ) 52.5 , b ) 52.9 , c ) 52.1 , d ) 48.75 , e ) 42.5",d
john purchased 1300 large bottles at $ 1.89 per bottle and 750 small bottles at $ 1.38 per bottle . what was the approximate average price paid per bottle ?,1.70,"a ) $ 1.63 , b ) $ 1.64 , c ) $ 1.68 , d ) $ 1.70 , e ) $ 1.76",d
"two consultants can type up a report in 12.5 hours and edit it in 7.5 hours . if mary needs 30 hours to type the report and jim needs 12 hours to edit it alone , how many hours q will it take if jim types the report and mary edits it immediately after he is done ?",41.4,"a ) 41.4 , b ) 34.1 , c ) 13.4 , d ) 12.4 , e ) 10.8",a
"if 2 ^ 4 , 3 ^ 3 , and 12 ^ 3 are factors of the product of 1,452 and w , where w is a positive integer , what is the smallest possible value of w ?",432,"a ) 198 , b ) 288 , c ) 432 , d ) 396 , e ) 484",c
"for all positive integers m and v , the expression m θ v represents the remainder when m is divided by v . what is the value of ( ( 94 θ 33 ) θ 17 ) - ( 96 θ ( 33 θ 17 ) ) ?",13,"a ) - 10 , b ) - 2 , c ) 8 , d ) 13 , e ) 17",d
"a sports equipment store sold ping pong rackets for a total of $ 735 . if the average ( arithmetic mean ) price of a pair of rackets is $ 9.8 , how many pairs were sold ?",75,"a ) 50 , b ) 100 , c ) 490 , d ) 500 , e ) 75",e
"john distributes his pencil among his 4 friends rose , mary , ranjan , and rohit in the ratio 1 / 3 : 1 / 3 : 1 / 4 : 1 / 5 . what is the minimum no . of pencils that the person should have ?",67,"a ) 45 , b ) 67 , c ) 70 , d ) 77 , e ) 98",b
"divide rs . 3250 among a , b and c so that a receives 1 / 5 as much as b and c together and b receives 2 / 3 as a and c together . b ' s share is ?",1300,"a ) 6500 , b ) 3250 , c ) 1100 , d ) 1300 , e ) 1200",d
the mean of 50 observations is 200 . but later he found that there is decrements of 15 from each observations . what is the the updated mean is ?,185,"a ) 150 , b ) 185 , c ) 190 , d ) 210 , e ) 220",b
"if the perimeter of a rectangular garden is 600 m , its length when its breadth is 150 m is ?",150,"a ) 150 m , b ) 899 m , c ) 200 m , d ) 166 m , e ) 187 m",a
a train 110 m long is running with a speed of 60 km / hr . in what time will it pass a trolley that is running with a speed of 12 km / hr in the direction opposite to that in which the train is going ?,5.5,"a ) 4.31 , b ) 6.75 , c ) 7.92 , d ) 5.5 , e ) 6.5",d
in a certain parallelogram the degree measure of one angle exceeds that of the other by 10 what is the degree measure of the smaller angle ?,85,"a ) 75 , b ) 80 , c ) 85 , d ) 90 , e ) 95",c
"the average of 10 numbers was calculated as 18 . it is discovered later on that while calculating the average , one number , namely 66 , was incorrectly read as 26 . what is the correct average ?",22,"a ) 20 , b ) 21 , c ) 22 , d ) 23 , e ) 24",c
"each child has 5 crayons and 14 apples . if there are 10 children , how many crayons are there in total ?",50,"a ) 22 , b ) 65 , c ) 12 , d ) 36 , e ) 50",e
what is the area of square field whose side of length 7 m ?,49,"a ) 225 , b ) 662 , c ) 772 , d ) 882 , e ) 49",e
"how many integers between 1 and 1050 are divisible by 10 , 25 , and 35 ?",3,"a ) 4 , b ) 5 , c ) 6 , d ) 7 , e ) 3",e
"5 pumps , working 9 hours a day , can empty a tank in 3 days . how many hours a day should 6 pumps work in order to empty the tank in 1 day ?",22.5,"a ) 20 hours , b ) 22.5 hours , c ) 23 hours , d ) 23.5 hours , e ) 24 hours",b
"if the average ( arithmetic mean ) of ( 2 a + 16 ) and ( 3 a - 8 ) is 79 , what is the value of a ?",30,"a ) 25 , b ) 30 , c ) 28 , d ) 36 , e ) 42",b
"we run a business that rents out canoes and kayaks . a canoe rental costs $ 12 per day , and a kayak rental costs $ 18 dollars per day . one day , our business rents out 3 canoes for every 2 kayaks and receives a total of $ 504 in revenue . how many more canoes than kayaks were rented out ?",7,"a ) 5 , b ) 6 , c ) 7 , d ) 8 , e ) 9",c
the average of runs of a cricket player of 20 innings was 32 . how many runs must he make in his next innings so as to increase his average of runs by 4 ?,116,"a ) 96 , b ) 106 , c ) 122 , d ) 116 , e ) 122",d
"a and b started a business in partnership investing rs . 20,000 and rs . 15,000 respectively . after 6 months , c joined them with rs . 20,000 . whatwill be b ' s share in total profit of rs . 22,000 earned at the end of 2 years from the startingof the business ?",00,"a ) s . 5,000 , b ) s . 5,500 , c ) s . 5,700 , d ) s . 6,600 , e ) s . 7,500",d
"x can do a piece of work in 8 hours . y and z together can do it in 6 hours , while x and z together can do it in 4 hours . how long will y alone take to do it ?",24,"a ) 24 hours , b ) 20 hours , c ) 34 hours , d ) 12 hours , e ) 10 hours",a
"a , b and c invested rs . 6300 , rs . 4200 and rs . 10500 respectively , in a partnership business . find the share of a in profit of rs . 13000 after a year ?",3900,"a ) 3630 , b ) 3900 , c ) 8828 , d ) 2387 , e ) 2813",b
"if two students starting from same point , walking in the opposite directions with 6 km / hr and 9 km / hr as average speeds respectively . then the distance between them after 4 hours is ?",60,"a ) 65 km , b ) 55 km , c ) 15 km , d ) 60 km , e ) 75 km",d
"dacid obtained 51 , 65 , 82 , 67 and 85 marks ( out of 100 ) in english , mathematics , physics , chemistry and biology . what are his average marks ?",70,"a ) 29 , b ) 38 , c ) 39 , d ) 70 , e ) 75",d
"70 percent of the members of a study group are women , and 40 percent of those women are lawyers . if one member of the study group is to be selected at random , what is the probability that the member selected is a woman lawyer ?",0.28,"a ) 0.28 , b ) 0.27 , c ) 0.25 , d ) 0.32 , e ) 0.35",a
"if two integers x , y ( x > y ) are selected from - 5 to 5 ( inclusive ) , how many cases are there ?",55,"a ) 55 , b ) 60 , c ) 65 , d ) 70 , e ) 75",a
"if x and y are positive integers and 5 + x + y + xy = 19 , what is the value of x + y ?",6,"a ) 3 , b ) 5 , c ) 6 , d ) 8 , e ) 9",c
"the cost price of a radio is rs . 1500 and it was sold for rs . 1260 , find the loss % ?",16,"a ) 18 , b ) 16 , c ) 26 , d ) 17 , e ) 11",b
"find the area of a cuboid of length 12 cm , breadth 6 cm . and height 10 cm .",720,"a ) 400 cm cube , b ) 410 cm cube , c ) 720 cm cube , d ) 730 cm cube , e ) 480 cm cube",c
"a , b and c started a business with capitals of rs . 8000 , rs . 10000 and rs . 12000 respectively . at the end of the year , the profit share of b is rs . 1900 . the difference between the profit shares of a and c is ?",760,"a ) 288 , b ) 760 , c ) 155 , d ) 600 , e ) 441",b
"the total marks obtained by a student in physics , chemistry and mathematics is 150 more than the marks obtained by him in physics . what is the average mark obtained by him in chemistry and mathematics ?",75,"a ) 75 , b ) 66 , c ) 55 , d ) 44 , e ) 12",a
a man buys a cycle for rs . 1400 and sells it at a loss of 18 % . what is the selling price of the cycle ?,1148,"a ) rs . 1148 , b ) rs . 1160 , c ) rs . 1190 , d ) rs . 1202 , e ) none",a
"if henry were to add 7 gallons of water to a tank that is already 3 / 4 full of water , the tank would be 7 / 8 full . how many gallons of water would the tank hold if it were full ?",56,"a ) 25 , b ) 40 , c ) 64 , d ) 80 , e ) 56",e
the average weight of 16 boys in a class is 50.25 kgs and that of the remaining 8 boys is 45.15 kgs . find the average weight of all the boys in the class .,48.55,"a ) 47.55 kgs , b ) 48 kgs , c ) 48.55 kgs , d ) 49.25 kgs , e ) none of these",c
"of the 150 employees at company x , 50 are full - time , and 100 have worked at company x for at least a year . there are 20 employees at company x who aren ’ t full - time and haven ’ t worked at company x for at least a year . how many full - time employees of company x have worked at the company for at least a year ?",20,"a ) 20 , b ) 30 , c ) 50 , d ) 80 , e ) 100",a
"a pet store regularly sells pet food at a discount of 10 percent to 30 percent from the manufacturer ’ s suggested retail price . if during a sale , the store discounts an additional 20 percent from the discount price , what would be the lowest possible price of a container of pet food that had a manufacturer ’ s suggested retail price o f $ 30.00 ?",16.80,"a ) $ 10.00 , b ) $ 11.20 , c ) $ 14.40 , d ) $ 16.80 , e ) $ 18.00",d
the simple interest on a sum of money will be rs . 500 after 10 years . if the principal is trebled after 5 years what will be the total interest at the end of the tenth year ?,900,"a ) 2261 , b ) 2888 , c ) 1200 , d ) 2699 , e ) 900",e
"16 meters of wire is available to fence off a flower bed in the form of a circular sector . what must the radius of the circle in meters be , if we wish to have a flower bed with the greatest possible surface area ?",4,"a ) 2 √ 2 , b ) 4 , c ) 5 , d ) 4 √ 2 , e ) none of these",b
amar takes as much time in running 21 meters as a car takes in covering 54 meters . what will be the distance covered by amar during the time the car covers 1.8 km ?,700,"a ) 700 m , b ) 500 m , c ) 670 m , d ) 700 m , e ) 640 m",d
an alloy weighing 16 ounces is 50 % gold . how many ounces of pure gold must be added to create an alloy that is 80 % gold ?,24,"a ) 24 , b ) 18 , c ) 9 , d ) 27 , e ) 18",a
what percent of 12.4 kg is 20 gms ?,16,"a ) 25 , b ) 16 , c ) 18 , d ) 19 , e ) 17",b
from 4 officers and 8 jawans in how many can 6 be chosen to include exactly one officer ?,224,"a ) 150 , b ) 164 , c ) 259 , d ) 311 , e ) 224",e
a train 560 m long is running at a speed of 45 km / hr . in what time will it pass a bridge 140 m long ?,56,"a ) 40 , b ) 56 , c ) 41 , d ) 42 , e ) 34",b
"a boat sails 15 km of a river towards upstream in 5 hours . how long will it take to cover the same distance downstream , if the speed of current is one - fourth the speed of the boat in still water ?",3,"a ) 7 h , b ) 3 h , c ) 4 h , d ) 2 h , e ) 9 h",b
the tax on a commodity is diminished by 22 % and its consumption increased by 11 % . the effect on revenue is ?,2,"a ) 8 , b ) 6 , c ) 5 , d ) 4 , e ) 2",e
there was two trains from calcutta to kanyakumari one train is fast service travels with a speed 75 km per hour another travels with a speed of 44 km per hour the time taken to reach from calcutta to kanyakumari is 4 hours less than the first train . . . find the distance b / w calcatta to kanyakumari,425.8,"a ) 415.8 km , b ) 425.8 km , c ) 435.8 km , d ) 445.8 km , e ) 455.8 km",b
"in a group of 10 doctors , 3 doctors are only pediatricians ; the others are surgeons or general practitioners - but not both . a team of 3 doctors is to be chosen which must have at least 1 pediatrician , how many different teams can be chosen ?",85,"a ) 85 , b ) 140 , c ) 60 , d ) 80 , e ) 75",a
"if the length of a certain rectangle is decreased by 4 cm and the width is increased by 3 cm , a square with the same area as the original rectangle would result . find the perimeter of the original rectangle ?",50,"a ) 76 , b ) 27 , c ) 19 , d ) 50 , e ) 11",d
a football player scores 4 goals in his fifth match thus increasing his average goals score by 0.2 . the total number of goals in his 5 matches would be,16,"a ) 4 , b ) 6 , c ) 8 , d ) 10 , e ) 16",e
the unit digit in the product 784 * 618 * 917 * 463 is ?,2,"a ) 3 , b ) 2 , c ) 4 , d ) 5 , e ) 6",b
how many liters of a 40 % iodine solution need to be mixed with 35 liters of a 20 % iodine solution to create a 35 % iodine solution ?,105,"a ) 35 , b ) 49 , c ) 100 , d ) 105 , e ) 140",d
"if 8 men do a work in 80 days , in how many days will 20 men do it ?",32,"a ) 18 days , b ) 32 days , c ) 42 days , d ) 48 days , e ) 44 days",b
a courtyard is 30 meter long and 16 meter board is to be paved with bricks of dimensions 20 cm by 10 cm . the total number of bricks required is ?,24000,"a ) 22877 , b ) 24000 , c ) 20000 , d ) 27999 , e ) 17799",b
"what is the smallest positive integer that leaves a remainder of 1 when divided by 2 , remainder of 2 when divided by 3 , a remainder of 3 when divided by 4 , and a remainder of 9 when divided by 10 ?",59,"a ) 58 , b ) 59 , c ) 60 , d ) 61 , e ) 62",b
tim ' s garden is shaped like a square whose side is 28 meters . what ' s the length of the fence which surrounds the garden ?,112,"['a ) 110 meters', 'b ) 111 meters', 'c ) 112 meters', 'd ) 113 meters', 'e ) 114 meters']",c
if 13 lions can kill 13 deers in 13 minutes how long will it take 100 lions to kill 100 deers ?,13,"a ) 1 minutes , b ) 13 minute , c ) 100 minutes , d ) 10000 minutes , e ) 1000 minutes",b
"if bill can buy 3 pairs of jeans and 2 shirts for $ 69 or 2 pairs of jeans and 3 shirts for $ 66 , how much does one shirt cost ?",12,"a ) $ 10 , b ) $ 12 , c ) $ 13.20 , d ) $ 15 , e ) $ 16.80",b
"each day a man meets his wife at the train station after work , and then she drives him home . she always arrives exactly on time to pick him up . one day he catches an earlier train and arrives at the station an hour early . he immediately begins walking home along the same route the wife drives . eventually his wife sees him on her way to the station and drives him the rest of the way home . when they arrive home the man notices that they arrived 30 minutes earlier than usual . how much time did the man spend walking ?",45,"a ) 45 minutes , b ) 50 minutes , c ) 40 minutes , d ) 55 minutes , e ) 35 minutes",a
the speed of a car is 145 km in the first hour and 60 km in the second hour . what is the average speed of the car ?,102.5,"a ) 89 kmph , b ) 92 kmph , c ) 75 kmph , d ) 102.5 kmph , e ) 77 kmph",d
"the greatest number which on dividing 1657 and 2037 leaves remainders 10 and 7 respectively , is :",1,"a ) 123 , b ) 1 , c ) 235 , d ) 305 , e ) 505",b
"if @ is a binary operation defined as the difference between an integer n and the product of n and 5 , then what is the largest positive integer n such that the outcome of the binary operation of n is less than 21 ?",5,"a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5",e
"each factor of 290 is inscribed on its own plastic ball , and all of the balls are placed in a jar . if a ball is randomly selected from the jar , what is the probability that the ball is inscribed with a multiple of 42 ?",16,"a ) 1 / 16 , b ) 5 / 42 , c ) 16 , d ) 3 / 16 , e ) 1 / 4",c
the average runs of a cricket player of 13 innings was 22 . how many runs must he make in his next innings so as to increase his average of runs by 5 ?,92,"a ) 92 , b ) 42 , c ) 64 , d ) 76 , e ) 84",a
"the ratio between the length and the breadth of a rectangular park is 3 : 2 . if a man cycling alongthe boundary ofthe park at the speed of 12 km / hr completes one round in 8 min , then the area of the park ( in sq . m ) is ?",153600,"a ) 13400 m , b ) 147600 m , c ) 153600 m , d ) 187500 m , e ) 196700 m",c
"a train leaves delhi at 9 a . m . at a speed of 30 kmph . another train leaves at 2 p . m . at a speed of 42 kmph on the same day and in the same direction . how far from delhi , will the two trains meet ?",787.5,"a ) 229 , b ) 288 , c ) 787.5 , d ) 888 , e ) 121",c
"a man performs 1 / 2 of the total journey by rail , 1 / 3 by bus and the remaining 2 km on foot . his total journey is",12,"a ) 16 km , b ) 10 km , c ) 12 km , d ) 24 km , e ) 25 km",c
the average of 7 consecutive numbers is 33 . the highest of these numbers is :,36,"a ) 28 , b ) 30 , c ) 33 , d ) 36 , e ) 28",d
"in a certain animal population , for each of the first 3 months of life , the probability that an animal will die during that month is 1 / 6 . for a group of 200 newborn members of the population , approximately how many would be expected to survive the first 3 months of life ?",116,"a ) 116 , b ) 146 , c ) 152 , d ) 162 , e ) 170",a
find the circumference of radius 7 cm .,44,"a ) 44 , b ) 55 , c ) 66 , d ) 77 , e ) 88",a
