,Question,Answer,Options,Correct
628,"on a trip , a cyclist averaged 9 miles per hour for the first 18 miles and 10 miles per hour for the remaining 12 miles . if the cyclist returned immediately via the same route and took a total of 7.2 hours for the round trip , what was the average speed ( in miles per hour ) for the return trip ?",7.5,"a ) 6.9 , b ) 7.2 , c ) 7.5 , d ) 7.8 , e ) 8.1",c
629,"when positive integer n is divided by 5 , the remainder is 1 . when n is divided by 7 , the remainder is 3 . what is the smallest positive integer k such that k + n is a multiple of 38 ?",7,"a ) 3 , b ) 4 , c ) 7 , d ) 32 , e ) 35",c
630,"jane started baby - sitting when she was 18 years old . whenever she baby - sat for a child , that child was no more than half her age at the time . jane is currently 34 years old , and she stopped baby - sitting 12 years ago . what is the current age of the oldest person for whom jane could have baby - sat ?",25,"a ) 20 , b ) 21 , c ) 22 , d ) 23 , e ) 25",e
631,"jeff has 252 ounces of peanut butter in 16 , 28 . and 40 ounce jars . he has an equal number of each sized jar . how many jars of peanut butter does jeff have ?",9,"a ) 9 , b ) 8 , c ) 7 , d ) 10 , e ) 11",a
632,"if 20 men can build a wall 66 metres long in 12 days , what length of a similar can be built by 86 men in 8 days ?",189.2,"a ) 189.2 mtrs , b ) 378.4 mtrs , c ) 478.4 mtrs , d ) 488.4 mtrs , e ) 578.4 mtrs",a
633,carmen made a sculpture from small pieces of wood . the sculpture is 2 feet 10 inches tall . carmen places her sculpture on a base that is 4 inches tall . how tall are the sculpture andbase together ?,3.17,"['a ) 3.17 feet', 'b ) 3.2 feet', 'c ) 3.3 feet', 'd ) 3.4 feet', 'e ) 3.5 feet']",a
634,"the average of 6 no . ' s is 2.5 . the average of 2 of them is 1.1 , while the average of the other 2 is 1.4 . what is the average of the remaining 2 no ' s ?",5,"a ) 2.3 , b ) 2.6 , c ) 3.6 , d ) 4.5 , e ) 5",e
635,"the sum of the first 92 positive even integers is 2,550 . what is the sum of the odd integers from 101 to 200 , inclusive ?",00,"a ) 5,050 , b ) 7,500 , c ) 10,500 , d ) 11,700 , e ) 19,600",d
636,"if 18 percent of the students at a certain school went to a camping trip and took more than $ 100 , and 75 percent of the students who went to the camping trip did not take more than $ 100 , what percentage of the students at the school went to the camping trip ?",72,"a ) 95 , b ) 90 , c ) 85 , d ) 78 , e ) 72",e
637,"a computer manufacturer produces a certain electronic component at a cost of $ 80 per component . shipping costs for delivering the components are $ 5 per unit . further , the manufacturer has costs of $ 16,500 a month related to the electronic component regardless of how many it produces . if the manufacturer produces and sells 150 components a month , what is the lowest price it can sell them for such that the costs do n ' t exceed the revenues ?",195,"a ) $ 28 , b ) $ 82 , c ) $ 110 , d ) $ 138 , e ) $ 195",e
638,"a particular library has 75 books in a special collection , all of which were in the library at the beginning of the month . these book are occasionally loaned out through an inter - library program . if , by the end of the month , 70 percent of books that were loaned out are returned and there are 60 books in the special collection at that time , how many books of the special collection were loaned out during that month ?",50,"a ) 20 , b ) 30 , c ) 35 , d ) 40 , e ) 50",e
639,"a , b and c play a cricket match . the ratio of the runs scored by them in the match is a : b = 2 : 3 and b : c = 2 : 5 . if the total runs scored by all of them are 100 , the runs scored by c are ?",60,"a ) 59 , b ) 58 , c ) 60 , d ) 61 , e ) 12",c
640,the average age of an adult class is 50 years . 12 new students with an avg age of 32 years join the class . therefore decreasing the average by 4 years . find what was the original average age of the class ?,42,"a ) 10 , b ) 12 , c ) 42 , d ) 20 , e ) 22",c
641,"anne and katherine are both saving money from their summer jobs to buy bicycles . if anne had $ 150 less , she would have exactly 1 / 3 as much as katherine . and if katherine had twice as much , she would have exactly 3 times as much as anne . how much money have they saved together ? (",750,"a ) $ 300 , b ) $ 400 , c ) $ 450 , d ) $ 625 , e ) $ 750",e
642,"a train crosses a platform of 120 m in 15 sec , same train crosses another platform of length 180 m in 18 sec . then find the length of the train ?",180,"a ) 145 , b ) 180 , c ) 181 , d ) 184 , e ) 150",b
643,how many cubes of 4 cm edge can be put in a cubical box of 1 m edge .,15625,"a ) 17725 cm , b ) 15625 cm , c ) 12786 cm , d ) 12617 cm , e ) 12187 cm",b
644,"how many integers between 324,700 and 375,600 have tens digit 1 and units digit 3 ?",509,"a ) 509 , b ) 624 , c ) 756 , d ) 832 , e ) 947",a
645,a train running at the speed of 58 km / hr crosses a pole in 9 sec . what is the length of the train ?,145,"a ) 145 m , b ) 786 m , c ) 566 m , d ) 546 m , e ) 445 m",a
646,"if x and y are both odd prime numbers and x < y , how many distinct positive integer w factors does 2 xy have ?",8,"a ) 3 , b ) 4 , c ) 6 , d ) 8 , e ) 12",d
647,"if it takes 4 identical printing presses exactly 6 hours to print 8000 newspapers , how long would it take 2 of these presses to print 6000 newspapers ?",9,"a ) 5 hrs , b ) 7 hrs , c ) 8 hrs , d ) 9 hrs 50 mins , e ) 9 hrs",e
648,"if ( t - 8 ) is a factor of t ^ 2 - kt - 43 , then k =",3,"a ) 16 , b ) 12 , c ) 2 , d ) 3 , e ) 14",d
649,a batsman in his 12 th innings makes a score of 55 and thereby increases his average by 1 runs . what is his average after the 12 th innings if he had never been ‘ not out ’ ?,44,"a ) 42 , b ) 43 , c ) 44 , d ) 45 , e ) 46",c
650,"find large number from below question the difference of two numbers is 2415 . on dividing the larger number by the smaller , we get 21 as quotient and the 15 as remainder",2535,"a ) 1209 , b ) 1324 , c ) 1245 , d ) 1300 , e ) 2535",e
651,"in an examination , a student scores 3 marks for every correct answer and loses 1 mark for every wrong answer . if he attempts all 30 questions and secures 130 marks , the no of questions he attempts correctly is :",40,"a ) a ) 35 , b ) b ) 40 , c ) c ) 90 , d ) d ) 88 , e ) e ) 37",b
652,"a train with a length of 100 meters , is traveling at a speed of 72 km / hr . the train enters a tunnel 2.3 km long . how many minutes does it take the train to pass through the tunnel from the moment the front enters to the moment the rear emerges ?",2.0,"a ) 2.0 , b ) 2.5 , c ) 3.0 , d ) 3.5 , e ) 4.0",a
653,"a garrison of 2000 men has provisions for 40 days . at the end of 20 days , a reinforcement arrives , and it is now found that the provisions will last only for 10 days more . what is the reinforcement ?",2000,"a ) 1888 , b ) 2766 , c ) 2999 , d ) 2000 , e ) 1712",d
654,"five bells commence tolling together and toll at intervals of 2 , 4 , 6 , 8 10 seconds respectively . in 20 minutes , how many times do they toll together ?",11,"a ) 11 , b ) 10 , c ) 15 , d ) 16 , e ) 17",a
655,we bought 85 hats at the store . blue hats cost $ 6 and green hats cost $ 7 . the total price was $ 600 . how many green hats did we buy ?,90,"a ) a ) 36 , b ) b ) 90 , c ) c ) 40 , d ) d ) 42 , e ) e ) 44",b
656,"if it is assumed that 60 percent of those who receive a questionnaire by mail will respond and 750 responses are needed , what is the minimum number of questionnaires that should be mailed ?",1250,"a ) 1160 , b ) 1190 , c ) 1220 , d ) 1250 , e ) 1280",d
657,"if the price of 357 apples is rs . 1517.25 , what will be the approximate price of 49 dozens of such apples",2500,"a ) rs . 2500 , b ) rs . 2300 , c ) rs . 2200 , d ) rs . 1400 , e ) none of these",a
658,"if 9 men can reap 80 hectares in 24 days , then how many hectares can 36 men reap in 30 days ?",400,"a ) 127 , b ) 237 , c ) 387 , d ) 400 , e ) 481",d
659,two trains of equal length are running on parallel lines in the same directions at 46 km / hr . and 36 km / hr . the faster trains pass the slower train in 144 seconds . the length of each train is :,200,"a ) 82 m , b ) 150 m , c ) 172 m , d ) 200 m , e ) none of these",d
660,"if an investor puts $ 900 in a savings account that earns 10 percent annual interest compounded semiannually , how much money will be in the account after one year ?",992.25,"a ) $ 986.25 , b ) $ 988.25 , c ) $ 990.25 , d ) $ 992.25 , e ) $ 994.25",d
661,if the wheel is 21 cm then the number of revolutions to cover a distance of 1056 cm is ?,8,"a ) 8 , b ) 27 , c ) 10 , d ) 7 , e ) 19",a
662,"for each color copy , print shop x charges $ 1.25 and print shop y charges $ 2.75 . how much greater is the charge for 60 color copies at print shop y than at print shop x ?",90,"a ) $ 80 , b ) $ 90 , c ) $ 100 , d ) $ 110 , e ) $ 120",b
663,a train 180 m long running at 75 kmph crosses a platform in 40 sec . what is the length of the platform ?,683,"a ) 687 , b ) 638 , c ) 683 , d ) 726 , e ) 267",c
664,a train is 327 meter long is running at a speed of 40 km / hour . in what time will it pass a bridge of 122 meter length ?,40.41,"a ) 32.7 , b ) 41 , c ) 50.29 , d ) 40.41 , e ) 20.28",d
665,"if a person walks at 16 km / hr instead of 10 km / hr , he would have walked 20 km more . the actual distance traveled by him is :",33.3,"a ) 50 km , b ) 56 km , c ) 60 km , d ) 70 km , e ) 33.3 km",e
666,"if teena is driving at 55 miles per hour and is currently 7.5 miles behind coe , who is driving at 40 miles per hour in the same direction then in how many minutes will teena be 15 miles ahead of coe ?",90,"a ) 15 , b ) 60 , c ) 75 , d ) 90 , e ) 105",d
667,"in a 500 m race , the ratio of the speeds of two contestants a and b is 2 : 4 . a has a start of 300 m . then , a wins by :",100,"a ) 60 m , b ) 20 m , c ) 43 m , d ) 20 m , e ) 100 m",e
668,the two lines y = x and x = - 8 intersect on the coordinate plane . what is the value of the area of the figure formed by the intersecting lines and the x - axis ?,32,"a ) 28 , b ) 32 , c ) 36 , d ) 40 , e ) 44",b
669,a school has received 60 % of the amount it needs for a new building by receiving a donation of $ 400 each from people already solicited . people already solicited represent 40 % of the people from whom the school will solicit donations . how much average contribution is requited from the remaining targeted people to complete the fund raising exercise ?,177.78,"a ) $ 200 , b ) $ 177.78 , c ) $ 100 , d ) $ 277.78 , e ) $ 377.78",b
670,"the average of 11 numbers is 60 . out of 11 numbers the average of first 6 no . is 58 , and last 6 numbers is 65 then find 6 th number ?",78,"a ) 78 , b ) 65 , c ) 58 , d ) 62 , e ) 48",a
671,"each month a retailer sells 100 identical items . on each item he makes a profit of $ 30 that constitutes 16 % of the item ' s price to the retailer . if the retailer contemplates giving a 5 % discount on the items he sells , what is the least number of items he will have to sell each month to justify the policy of the discount ?",157,"a ) 157 , b ) 213 , c ) 221 , d ) 223 , e ) 226",a
672,the population of a town is 8000 . it decreases annually at the rate of 10 % p . a . what will be its population after 2 years ?,6480,"a ) 5100 , b ) 5120 , c ) 5200 , d ) 5400 , e ) 6480",e
673,jim ’ s taxi service charges an initial fee of $ 2.25 at the beginning of a trip and an additional charge of $ 0.15 for each 2 / 5 of a mile traveled . what is the total charge for a trip of 3.6 miles ?,3.60,"a ) $ 3.15 , b ) $ 4.45 , c ) $ 3.60 , d ) $ 5.05 , e ) $ 5.40",c
674,"the ratio between the length and the breadth of a rectangular park is 3 : 2 . if a man cycling along the boundary of the park at the speed of 12 km / hr completes one round in 9 minutes , then the area of the park ( in sq . m ) is :",194400,"a ) 153601 , b ) 153600 , c ) 153602 , d ) 153603 , e ) 194400",e
675,pipe a can fill a tank in 16 hrs and pipe b can fill it in 24 hrs . if both the pipes are opened in the empty tank . in how many hours will it be fill 5 / 4 th of that tank ?,12,"a ) 10 , b ) 12 , c ) 14 , d ) 16 , e ) 18",b
676,a certain sum is invested at simple interest at 18 % p . a . for two years instead of investing at 12 % p . a . for the same time period . therefore the interest received is more by rs . 504 . find the sum ?,4200,"a ) 7000 , b ) 7029 , c ) 2778 , d ) 4200 , e ) 2791",d
677,the average age of 8 men is increased by years when two of them whose ages are 21 years and 23 years are replaced by two new men . the average age of the two new men is,30,"a ) 22 , b ) 30 , c ) 99 , d ) 38 , e ) 27",b
678,"a boy traveled from the village to the post - office at the rate of 12.5 kmph and walked back at the rate of 2 kmph . if the whole journey took 5 hours 48 minutes , find the distance of the post - office from the village .",10,"a ) 5 km , b ) 7 km , c ) 9 km , d ) 10 km , e ) 12 km",d
679,"the sum of the numbers is 177 . if the ratio between the first and the second be 5 : 3 and that between the second and third be 4 : 9 , then find the second number ?",45,"a ) 12 , b ) 20 , c ) 45 , d ) 60 , e ) 52",c
680,if the height of a cone is increased by 190 % then its volume is increased by ?,190,"a ) 100 , b ) 777 , c ) 998 , d ) 190 , e ) 2879",d
681,"a green lizard can travel from the green cave to the blue cave in 108 minutes ; the blue lizard can travel from the blue cave to the green cave in 25 % less time . if the green lizard started to travel 7.5 minutes before the blue lizard , how many minutes after the blue lizard , will the green lizard pass the middle line ?",6,"a ) 2 . , b ) 3.5 . , c ) 4 . , d ) 5.5 . , e ) 6 .",e
682,"the first year , two cows produced 8100 litres of milk . the second year their production increased by 15 % and 10 % respectively , and the total amount of milk increased to 9100 litres a year . how many litres were milked from each cow each year ?",4370,"a ) 3472 , b ) 8222 , c ) 4370 , d ) 26777 , e ) 8222",c
683,"sara bought both german chocolate and swiss chocolate for some cakes she was baking . the swiss chocolate cost $ 2.5 per pound , and german chocolate cost $ 1.5 per pound . if the total the she spent on chocolate was $ 15 and both types of chocolate were purchased in whole number of pounds , how many total pounds of chocolate she purchased ?",8,"a ) 9 , b ) 8 , c ) 10 , d ) 12 , e ) 15",b
684,find the expenditure on digging a well 14 m deep and of 3 m diameter at rs . 15 per cubic meter ?,1485,"a ) 2998 , b ) 2799 , c ) 2890 , d ) 1485 , e ) 2780",d
685,a car started running at a speed of 28 km / hr and the speed of the car was increased by 2 km / hr at the end of every hour . find the total distance covered by the car in the first 10 hours of the journey .,37,"a ) 37 km , b ) 76 km , c ) 25 km , d ) 15 km , e ) 30 km",a
686,find the total number of prime factors in the expression ( 4 ) ^ 11 x ( 7 ) ^ 3 x ( 11 ) ^ 2,27,"a ) 26 , b ) 22 , c ) 25 , d ) 27 , e ) 29",d
687,"for a group of n people , k of whom are of the same sex , the ( n - k ) / n expression yields an index for a certain phenomenon in group dynamics for members of that sex . for a group that consists of 20 people , 7 of whom are females , by how much does the index for the females exceed the index for the males in the group ?",0.3,"a ) 0.05 , b ) 0.0625 , c ) 0.2 , d ) 0.3 , e ) 0.6",d
688,"the sum of the squares of three numbers is 138 , while the sum of their products taken two at a time is 131 . their sum is :",20,"a ) 20 , b ) 98 , c ) 37 , d ) 26 , e ) 17",a
689,the parameter of a square is equal to the perimeter of a rectangle of length 16 cm and breadth 14 cm . find the circumference of a semicircle whose diameter is equal to the side of the square . ( round off your answer to two decimal places ),23.57,"['a ) 77.14 cm', 'b ) 47.14 cm', 'c ) 84.92 cm', 'd ) 94.94 cm', 'e ) 23.57 cm']",e
690,"in a graduating class , the difference between the highest and lowest salaries is $ 100000 . the median salary is $ 50000 higher than the lowest salary and the average salary is $ 20000 higher than the median . what is the minimum number of students e in the class ?",15,"a ) a ) 10 , b ) b ) 12 , c ) c ) 15 , d ) d ) 20 , e ) e ) 25",c
691,a car travels first 160 km at 64 km / hr and the next 160 km at 80 km / hr . what is the average speed for the first 320 km of the tour ?,71.11,"a ) 71.11 , b ) 71.12 , c ) 71.1 , d ) 71.17 , e ) 71.13",a
692,"a prize of $ 800 is to be distributed among 20 winners , each of whom must be awarded at least $ 20 . if 2 / 5 of the prize will be distributed to 3 / 5 of the winners , what is the greatest possible individual award ?",340,"a ) $ 200 , b ) $ 220 , c ) $ 280 , d ) $ 300 , e ) $ 340",e
693,"mary works in a restaurant a maximum of 50 hours . for the first 20 hours , she is paid $ 8 per hour . for each overtime hour , she is paid at a rate which is 25 % higher than her regular rate . how much mary can earn in a week ?",460,"a ) 300 , b ) 420 , c ) 460 , d ) 320 , e ) 400",c
694,"an outlet pipe empties a tank which is full in 5 hours . if the inlet pipe is kept open , which lets water in at the rate of 4 litres / min then outlet pipe would take 3 hours longer . find the capacity of the tank .",3200,"a ) 8600 litres , b ) 3200 litres , c ) 12800 litres , d ) 11200 litres , e ) 13200 litres",b
695,"you buy a piece of land with an area of â ˆ š 625 , how long is one side of the land plot ?",25,"a ) 28 , b ) 29 , c ) 30 , d ) 31 , e ) 25",e
696,"in a division sum , the remainder is 4 and the divisor is 2 times the quotient and is obtained by adding 2 to the thrice of the remainder . the dividend is :",100,"a ) 72 , b ) 90 , c ) 100 , d ) 110 , e ) 120",c
697,"if the sum of two numbers is 42 and their product is 437 , then find the absolute difference between the numbers .",4,"a ) 2 , b ) 4 , c ) 3 , d ) 1 , e ) 0",b
698,"for dinner , cara ate 240 grams of bread which was 8 times as much bread as she ate for lunch , and 6 times as much bread as she ate for breakfast . how much bread did cara eat in total ?",310,"a ) 300 , b ) 310 , c ) 320 , d ) 330 , e ) 340",b
699,a rectangular box 60 m long and 40 m wide has two concrete crossroads running in the middle of the box and rest of the box has been used as a lawn . the area of the lawn is 2109 sq . m . what is the width of the road ?,3,"['a ) 3 m', 'b ) 4 m', 'c ) 5 m', 'd ) 6 m', 'e ) 2 m']",a
700,"the speed at which a man can row a boat in still water is 25 kmph . if he rows downstream , where the speed of current is 11 kmph , what time will he take to cover 80 metres ?",8,"a ) 18 seconds , b ) 27 seconds , c ) 26 seconds , d ) 12 seconds , e ) 8 seconds",e
701,"for a particular american football game , the probability of a team ' s quarterback throwing a completed pass on each throw is 3 / 10 . what is the least number of times that the quarterback should throw the ball that will increase the probability of getting a completed pass at least once to more than 50 % .",2,"a ) 10 , b ) 5 , c ) 2 , d ) 3 , e ) 1",c
702,a and b can do a work in 8 hours and 12 hours respectively . a starts the work at 6 am and they work alternately for one hour each . when will the work be completed ?,9.6,"a ) 9.6 days , b ) 7.6 days , c ) 4 days , d ) 8.6 days , e ) 6.6 days",a
703,"in a weight - lifting competition , the total weight of joe ' s two lifts was 1800 pounds . if twice the weight of his first lift was 300 pounds more than the weight of his second lift , what was the weight , in pounds , of his first lift ?",700,"a ) 225 , b ) 275 , c ) 325 , d ) 350 , e ) 700",e
704,"a train covers a distance of 12 km in 10 min . if it takes 1 sec to pass a telegraph post , then the length of the train is ?",20,"a ) 10 , b ) 20 , c ) 30 , d ) 15 , e ) 45",b
705,"in a division , divident is 729 , divisior is 38 and quotient is 19 . find the remainder .",7,"a ) a ) 4 , b ) b ) 3 , c ) c ) 2 , d ) d ) 5 , e ) e ) 7",e
706,"compound x contains elements a and b at an approximate ratio , by weight , of 2 : 10 . approximately how many grams of element b are there in 330 grams of compound x ?",275,"a ) 54 , b ) 162 , c ) 250 , d ) 275 , e ) 322",d
707,the average salary of all the workers in a workshop is rs . 9000 . the average salary of 7 technicians is rs . 12000 and the average salary of the rest is rs . 6000 . the total number of workers in the workshop is ?,14,"a ) a ) 23 , b ) b ) 21 , c ) c ) 52 , d ) d ) 56 , e ) e ) 14",e
708,find the sum of first 30 natural numbers,465,"a ) 470 , b ) 468 , c ) 465 , d ) 463 , e ) 485",c
709,"a farmer with 1,350 acres of land had planted his fields with corn , sugar cane , and tobacco in the ratio of 5 : 3 : 1 , respectively , but he wanted to make more money , so he shifted the ratio to 2 : 4 : 3 , respectively . how many more acres of land were planted with tobacco under the new system ?",300,"a ) 90 , b ) 150 , c ) 270 , d ) 300 , e ) 450",d
710,"average of 10 matches is 34 , how many runs one should should score to increase his average by 4 runs .",78,"a ) a ) 70 , b ) b ) 76 , c ) c ) 78 , d ) d ) 80 , e ) e ) 88",c
711,"what least number should be added to 1021 , so that the sum is completely divisible by 25 ?",4,"a ) 4 , b ) 3 , c ) 2 , d ) 0 , e ) 5",a
712,"in the first 10 overs of a cricket game , the run rate was only 3.2 . what should be the run rate in the remaining 40 0 vers to reach the target of 282 runs ?",6.25,"a ) 6.25 , b ) 6.5 , c ) 6.75 , d ) 7 , e ) none",a
713,how many positive integers less than 50 are multiples of 6 but not multiples of 8 ?,6,"a ) 4 , b ) 6 , c ) 8 , d ) 10 , e ) 12",b
714,"a reduction of 10 % in the price of oil enables a house wife to obtain 5 kgs more for rs . 800 , what is the reduced price for kg ?",16,"a ) s . 42 , b ) s . 46 , c ) s . 40 , d ) s . 41 , e ) s . 16",e
715,"the monthly incomes of a and b are in the ratio 5 : 2 . b ' s monthly income is 12 % more than c ' s monthly income . if c ' s monthly income is rs . 17000 , then find the annual income of a ?",571200,"a ) rs . 571200 , b ) rs . 180000 , c ) rs . 201600 , d ) rs . 504000 , e ) none of these",a
716,17 chess players take part in a tournament . every player plays twice with each of his opponents . how many games are to be played ?,272,"a ) 154 , b ) 184 , c ) 240 , d ) 272 , e ) 306",d
717,what will be the reminder when ( 13 ^ 13 + 13 ) is divided by 14 ?,12,"a ) 16 , b ) 14 , c ) 12 , d ) 18 , e ) 21",c
718,the remainder when positive integer nn ( n > 1 n > 1 ) is divided by 25 is 1 and the remainder when nn is divided by 7 is also 1 . what is the least value of nn ?,176,"a ) 76 , b ) 101 , c ) 126 , d ) 151 , e ) 176",e
719,"a tank is filled in sixteen hours by 3 pipes a , b and c . pipe a is twice as fast as pipe b , and b is twice as fast as c . how much time will pipe b alone take to fill the tank ?",56,"a ) 56 hours , b ) 28 hours , c ) 55 hours , d ) 66 hours , e ) 47 hours",a
720,two numbers n and 16 have lcm = 48 and gcf = 18 . find n .,54,"a ) 24 , b ) 34 , c ) 44 , d ) 54 , e ) 64",d
721,"when n is divided by 20 , the remainder is 5 . what is the remainder when n + 16 is divided by 5 ?",1,"a ) 1 , b ) 3 , c ) 4 , d ) 5 , e ) 6",a
722,"if a = { 10 , 15 , 18 , 22 , 36 , 44 } , what is the product of mean and median of the numbers in a ?",480,"a ) 105 , b ) 245 , c ) 360 , d ) 480 , e ) 542",d
723,"two trains leave a station traveling in the same direction . train a leaves traveling at a constant speed of 50 mph , while train b leaves traveling at a constant speed of 80 mph . if train b left the station 30 minutes after train a left , in how many minutes will train b overtake train a ?",50,"a ) 30 , b ) 40 , c ) 50 , d ) 60 , e ) 70",c
724,"if 4 : 6 : : x : 36 , then find the value of x",24,"a ) 24 , b ) 22 , c ) 28 , d ) 30 , e ) 18",a
725,"let the least number of 6 digits , which when divided by 4 , 610 and 15 leaves in each case the same remainder of 2 , be n . the sum of the digits in n is :",5,"a ) 3 , b ) 4 , c ) 5 , d ) 6 , e ) 7",c
726,"if a = 105 and a ^ 3 = 21 * 25 * 35 * b , what is the value of b ?",63,"a ) 35 , b ) 42 , c ) 45 , d ) 49 , e ) 63",e
727,what is the maximum number of pieces of birthday cake of size 2 ” by 2 ” that can be cut from a cake 20 ” by 20 ” ?,100,"a ) 5 , b ) 100 , c ) 16 , d ) 20 , e ) 25",b
728,how many positive integers less than 50 are multiples of 2 but not multiples of 5 ?,20,"a ) 4 , b ) 6 , c ) 8 , d ) 10 , e ) 20",e
729,what is the least number . which should be added to 0.0282 to make it a perfect square ?,0.0007,"a ) 0.0007 , b ) 0.0042 , c ) 0.0002 , d ) 0.0003 , e ) 0.0004",a
730,"at the faculty of aerospace engineering , 302 students study random - processing methods , 232 students study scramjet rocket engines and 112 students study them both . if every student in the faculty has to study one of the two subjects , how many students are there in the faculty of aerospace engineering ?",422,"a ) 444 , b ) 432 , c ) 346 , d ) 422 , e ) 448",d
731,"in a group of 100 people , 55 have visited iceland and 43 have visited norway . if 61 people have visited both iceland and norway , how many people have visited neither country ?",63,"a ) 60 , b ) 61 , c ) 62 , d ) 63 , e ) 64",d
732,"a car was driving at 60 km / h for 20 minutes , and then at 90 km / h for another 40 minutes . what was its average speed ?",80,"a ) 80 . , b ) 75 , c ) 70 , d ) 65 . , e ) 54 .",a
733,"a , b and c invests rs . 2000 , rs . 3000 and rs . 4000 in a business . after one year a removed his money ; b and c continued the business for one more year . if the net profit after 2 years be rs . 3200 , then a ' s share in the profit is ?",400,"a ) 299 , b ) 267 , c ) 269 , d ) 400 , e ) 276",d
734,a train is moving at a speed of 100 km / hour . the length of the train is 100 metre . in how much time will it cross a pole ?,3.6,"a ) 1 second , b ) 2.5 second , c ) 4 second , d ) 3.6 second , e ) 4.5 second",d
735,"a ladder 14 feet long is leaning against a wall that is perpendicular to level ground . the bottom of the ladder is 9 feet from the base of the wall . if the top of the ladder slips down 1 feet , how many feet will the bottom of the ladder slip ?",10,"a ) 4 , b ) 10 , c ) 18 , d ) 19 , e ) 25",b
736,a trader sells 40 metres of cloth for rs . 8200 at a profit of rs . 30 per metre of cloth . how much profit will the trder earn on 40 metres of cloth ?,1200,"a ) rs . 950 , b ) rs . 1500 , c ) rs . 1000 , d ) rs . 1200 , e ) none of these",d
737,a train 330 m long is running with a speed of 60 km / hr . in what time will it pass a man who is running at 6 km / hr in the direction opposite to that in which the train is going ?,18,"a ) 5 , b ) 6 , c ) 7 , d ) 18 , e ) 9",d
738,"company p had 15 percent more employees in december than it had in january . if company p had 460 employees in december , how many employees did it have in january ?",400,"a ) 391 , b ) 400 , c ) 410 , d ) 423 , e ) 445",b
739,"if rs . 782 be divided into 3 parts , proportional to 1 / 2 : 1 / 3 : 3 / 4 , then the second part is ?",165,"a ) a ) 426 , b ) b ) 526 , c ) c ) 207 , d ) d ) 165 , e ) e ) 297",d
740,"a number is doubled and 5 is added . if the resultant is trebled , it becomes 117 . what is that number ?",17,"a ) 12 , b ) 29 , c ) 27 , d ) 17 , e ) 99",d
741,find out the c . i on rs . 5000 at 4 % p . a . compound half - yearly for 1 1 / 2 years .,306.05,"a ) 306.05 , b ) 306.00 , c ) 306.04 , d ) 306.05 , e ) 306.01",a
742,what is the greatest of 3 consecutive integers whose sum is 24 ?,9,"a ) 3 , b ) 76 , c ) 8 , d ) 9 , e ) 10",d
743,"i sold a book at a profit of 10 % . had i sold it for $ 120 more , 15 % would have been gained . find the cost price ?",2400,"a ) $ 2000 , b ) $ 2500 , c ) $ 2400 , d ) $ 3120 , e ) $ 1540",c
744,how much is 25 % of 40 is greater than 4 / 5 of 25 ?,10,"a ) 10 , b ) 776 , c ) 66 , d ) 12 , e ) 99",a
745,"in a division , divident is 760 , divisior is 36 and quotient is 21 . find the remainder .",4,"a ) a ) 4 , b ) b ) 3 , c ) c ) 2 , d ) d ) 5 , e ) e ) 6",a
746,"a certain car uses 12 gallons of gasoline in traveling 360 miles . in order for the car to travel the same distance using 10 gallons of gasoline , by how many miles per gallon must the car ’ s gas mileage be increased ?",6,"a ) 2 , b ) 4 , c ) 6 , d ) 8 , e ) 10",c
747,"in an election between two candidates - lange and sobel - 70 % of the voters voted for sobel . of the election ` s voters , 60 % were male . if 35 % of the female voters voted for lange , what percentage of the male voters voted for sobel ?",44,"a ) 14 , b ) 16 , c ) 26 , d ) 44 , e ) 65",d
748,"a 100 - litre mixture of milk and water contains 49 litres of milk . ' x ' litres of this mixture is removed and replaced with an equal quantum of water . if the process is repeated once , then the concentration of the milk stands reduced at 25 % . what is the value of x ?",28.57,"a ) 27.5 litres , b ) 26.67 litres , c ) 27.67 litres , d ) 28.57 litres , e ) 26 litres",d
749,"the standard deviation of a normal distribution of data is 2 , and 3 standard deviations below the mean is greater than 46 . what is a possible value for the mean of the distribution ?",52,"a ) 46 , b ) 52 , c ) 48 , d ) 49 , e ) 50",b
750,"4 friends a , b , c and d decided to share a lot of apples . each of them had half of the total plus half an apple in order . after each of them took their share 3 time , no apples were left . how many apples were there ?",4095,"a ) 4096 , b ) 4055 , c ) 4092 , d ) 4085 , e ) 4095",e
751,"a certain family has 3 sons : richard is 6 years older than david , and david is 8 years older than scott . if in 8 years , richard will be twice as old as scott , then how old was david 2 years ago ?",12,"a ) 8 , b ) 12 , c ) 12 , d ) 14 , e ) 16",b
752,a river 4 m deep and 22 m wide is flowing at the rate of 2 kmph the amount of water that runs into the sea per minute is ?,2933,"a ) 4500 , b ) 2678 , c ) 2933 , d ) 2761 , e ) 2882",c
753,"a drink vendor has 40 liters of maaza , 144 liters of pepsi and 368 liters of sprite . he wants to pack them in cans , so that each can contains the same number of liters of a drink , and does n ' t want to mix any two drinks in a can . what is the least number of cans required ?",69,"a ) 35 , b ) 37 , c ) 42 , d ) 50 , e ) 69",e
754,"if x is 3 times larger than n , and if 2 n + 3 is 20 % of 25 , what is the value of ?",3,"a ) 1 , b ) 2 , c ) 3 , d ) 6 , e ) 12",c
755,"a one - foot stick is marked in 1 / 3 and 1 / 5 portion . how many total markings will there be , including the end points ?",8,"a ) 10 , b ) 7 , c ) 6 , d ) 5 , e ) 8",e
