Question,Answer,Options,Correct
"in a certain boys camp , 20 % of the total boys are from school a and 30 % of those study science . if there are 56 boys in the camp that are from school a but do not study science then what is the total number of boys in the camp ?",400,"a ) 70 , b ) 400 , c ) 150 , d ) 35 , e ) 350",b
the number 219 can be written as sum of the squares of 3 different positive integers . what is the sum of these 3 different integers ?,21,"a ) 20 , b ) 21 , c ) 19 , d ) 17 , e ) 15",b
in a boat there are 8 men whose average weight is increased by 1 kg when 1 man of 60 kg is replaced by a new man . what is weight of new comer ?,68,"a ) 70 , b ) 66 , c ) 68 , d ) 69 , e ) 72",c
the ratio of a and b is 5 : 3 . after 2 years their ratio is 3 : 2 . what is the age of b ?,6,"a ) 5 , b ) 3 , c ) 6 , d ) 7 , e ) 8",c
"a train leaves delhi at 7 a . m . at a speed of 30 kmph . another train leaves at 2 p . m . at a speed of 40 kmph on the same day and in the same direction . how far from delhi , will the two trains meet ?",840,"a ) 229 , b ) 840 , c ) 600 , d ) 888 , e ) 121",b
"eight cubes , each with a volume of 512 cm ^ 3 , are joined to form one large cube . what is the surface area of the large cube ?",1536,"['a ) 4096 sq cm', 'b ) 1536 sq cm', 'c ) 1024 sq cm', 'd ) 2048 sq cm', 'e ) 512 sq cm']",b
"the length of a rectangle is twice its breadth . if its lengthis decreased by 5 cm & breadth is increased by 5 cm , the area of the rectangle is increased by 75 sq . cm . what is the length of the rectangle ?",40,"a ) 25 cm , b ) 30 cm , c ) 40 cm , d ) 45 cm , e ) 60 cm",c
every year an amount increases by 1 / 8 th of itself . how much will it be after two years if its present value is rs . 51200 ?,64800,"a ) 81000 , b ) 81028 , c ) 27772 , d ) 29889 , e ) 64800",e
"set s contains exactly 10 numbers and has an average ( arithmetic mean ) of 6.2 . if one of the numbers in set s is increased by 4 , while all other numbers remain the same , what is the new average of set s ?",6.6,"a ) 6.6 , b ) 6.7 , c ) 6.8 , d ) 6.85 , e ) 6.9",a
how many numbers are divisible by 4 between 1 and 100 .,24,"a ) 24 , b ) 23 , c ) 22 , d ) 21 , e ) 25",a
"if a person walks at 14 km / hr instead of 10 km / hr , he would have walked 20 km more . what is the actual distance travelled by him ?",50,"a ) 33 , b ) 11 , c ) 38 , d ) 50 , e ) 12",d
"arjun started a business with rs . 40,000 and is joined afterwards by anoop with rs . 80 , 000 . after how many months did anoop join if the profits at the end of the year are divided equally ?",6,"a ) 3 , b ) 4 , c ) 5 , d ) 6 , e ) 7",d
5555 × 9999 = ?,55544445,"a ) 55500005 , b ) 55511115 , c ) 55522225 , d ) 55533335 , e ) 55544445",e
1397 x 1397 = ?,1951609,"a ) 1951607 , b ) 1951609 , c ) 1951610 , d ) 1951611 , e ) 1951613",b
"if 5 < x < 11 and y = x + 6 , what is the greatest possible integer value of x + y ?",27,"a ) 25 , b ) 26 , c ) 27 , d ) 28 , e ) 29",c
"pipe p can fill a tank in 8 hours , pipe q in 12 hours and pipe r in 20 hours . if all the pipes are open , in how many hours will the tank be filled ?",3.8,"a ) 2 hours , b ) 2.4 hours , c ) 3.8 hours , d ) 3.5 hours , e ) 4.5 hours",c
"a trader mixes 80 kg of tea at 15 per kg with 20 kg of tea at cost price of 20 per kg . in order to earn a profit of 35 % , what should be the sale price of the mixed tea ?",21.6,"a ) 23.75 , b ) 21.6 , c ) 20 , d ) 19.2 , e ) none of these",b
"a cube of edge 12 cm is immersed completely in a rectangular vessel containing water . if the dimensions of the base of vessel are 20 cm * 15 cm , find the rise in water level ?",5.76,"a ) 5.76 cm , b ) 8.25 cm , c ) 11.25 cm , d ) 15.12 cm , e ) 20.62 cm",a
"two cars are driving toward each other . the first car is traveling at a speed of 100 km / h , which is 20 % slower than the second car ' s speed . if the distance between the cars is 1125 km , how many hours will it take until the two cars meet ?",5,"a ) 4 , b ) 4.5 , c ) 4.8 , d ) 5 , e ) 5.5",d
a train 140 m long running at 84 kmph crosses a platform in 16 sec . what is the length of the platform ?,233,"a ) 287 , b ) 298 , c ) 233 , d ) 726 , e ) 267",c
"by travelling at 70 kmph , a person reaches his destination on time . he covered two - third the total distance in one - third of the total time . what speed should he maintain for the remaining distance to reach his destination on time ?",35,"a ) 25 kmph , b ) 20 kmph , c ) 28 kmph , d ) 35 kmph , e ) 32 kmph",d
"the cost of registration at a professional association meeting was $ 50 per person ; a lunch for registrants only was available for an additional $ 22 per person . if the number of registrants who paid for lunch was 50 more than the number who did not , and if receipts for registration and lunch totaled $ 82,900 , how many people paid just for registration at the meeting ?",650,"a ) 700 , b ) 650 , c ) 1,300 , d ) 1,500 , e ) 1,800",b
the unit digit in the product ( 594 * 897 * 929 * 462 ) is :,4,"a ) 2 , b ) 5 , c ) 6 , d ) 4 , e ) 10",d
how many times will the digit 8 be written when listing the integers from 1 to 1000 ?,300,"a ) 164 , b ) 297 , c ) 300 , d ) 345 , e ) 482",c
a train passes a station platform in 36 sec and a man standing on the platform in 20 sec . if the speed of the train is 63 km / hr . what is the length of the platform ?,280,"a ) 240 , b ) 288 , c ) 277 , d ) 226 , e ) 280",e
machine a and machine b are each used to manufacture 330 sprockets . it takes machine a 10 hours longer to produce 330 sprockets than machine b . machine b produces 10 percent more sprockets per hour than machine a . how many sprockets per hour does machine a produces ?,3,"a ) 5 , b ) 4 , c ) 6 , d ) 8 , e ) 3",e
"if the ratio of the sum of the first 6 terms of a g . p . to the sum of the first 3 terms of the g . p . is 217 , what is the common ratio of the g . p ?",6,"a ) 3 , b ) 1 / 3 , c ) 2 , d ) 6 , e ) 1 / 6",d
"on dividing 136 by a number , the quotient is 9 and the remainder is 1 . find the divisor ?",15,"a ) a ) 12 , b ) b ) 15 , c ) c ) 16 , d ) d ) 17 , e ) e ) 18",b
a 72 gallon solution of salt and water is 10 % salt . how many gallons of water must be added to the solution in order to decrease the salt to 8 % of the volume ?,18,"a ) 8 , b ) 12 , c ) 18 , d ) 14 , e ) 16",c
the radius of a cylindrical vessel is 9 cm and height is 3 cm . find the whole surface of the cylinder ?,678.8,"a ) 308 sq cm , b ) 220 sq cm , c ) 440 sq cm , d ) 132 sq cm , e ) 678.8 sq cm",e
the simple interest on a sum of money will be rs . 600 after 10 years . if the principal is trebled after 5 years what will be the total interest at the end of the tenth year ?,1200,"a ) 8981 , b ) 3799 , c ) 1200 , d ) 2693 , e ) 1732",c
"a rectangular floor that measures 24 meters by 64 meters is to be covered with carpet squares that each measure 8 meters by 8 meters . if the carpet squares cost $ 24 apiece , what is the total cost for the number of carpet squares needed to cover the floor ?",576,"['a ) $ 200', 'b ) $ 576', 'c ) $ 480', 'd ) $ 960', 'e ) $ 1,920']",b
what least number must be subtracted from 427751 so that remaining no . is divisible by 10,1,"a ) 3 , b ) 1 , c ) 6 , d ) 8 , e ) 9",b
jim is able to sell a hand - carved statue for $ 660 which was a 20 % profit over his cost . how much did the statue originally cost him ?,550,"a ) $ 496.30 , b ) $ 512.40 , c ) $ 550 , d ) $ 574.90 , e ) $ 588.20",c
the minute hand of a clock overtakes the hour hand at intervals of 65 minutes of correct time . how much does the clock gain or lose in 12 hours ?,27.273,"a ) 27.273 seconds , b ) 29.273 seconds , c ) 37.273 seconds , d ) 47.273 seconds , e ) 17.273 seconds",a
"average monthly income of a family of 3 earning members was rs . 735 . one of the earning members died and therefore , the average income came down to rs 650 . the income of the deceased was ?",905,"a ) rs . 692.80 , b ) rs . 905 , c ) rs . 990 , d ) rs . 1385 , e ) none",b
"a started a business with an investment of rs . 70000 and after 6 months b joined him investing rs . 120000 . if the profit at the end of a year is rs . 52000 , then the share of b is ?",24000,"a ) 2888 , b ) 24000 , c ) 27777 , d ) 29997 , e ) 27712",b
"a tank can supply water to a village for 20 days . if a leak at the bottom of the tank drains out 10 liters per day , the supply lasts for 15 days only . for how many days will the supply last if the leak drains out 20 liters per day ?",12,"a ) 9 , b ) 10 , c ) 11 , d ) 12 , e ) 14",d
"31 of the scientists that attended a certain workshop were wolf prize laureates , and 14 of these 31 were also nobel prize laureates . of the scientists that attended that workshop and had not received the wolf prize , the number of scientists that had received the nobel prize was 3 greater than the number of scientists that had not received the nobel prize . if 50 of the scientists attended that workshop , how many of them were nobel prize laureates ?",25,"a ) a ) 11 , b ) b ) 18 , c ) c ) 25 , d ) d ) 29 , e ) d ) 36",c
"if the average ( arithmetic mean ) of x + 1 , x + 4 , and x + 7 is 0 , then x =",4,"a ) – 4 , b ) – 3 , c ) – 2 , d ) – 1 , e ) 0",a
"for how many integers pair ( x , y ) satisfies the result ( 1 / x ) + ( ( 1 / y ) = 1 / 16",19,"a ) a ) 12 , b ) b ) 6 , c ) c ) 10 , d ) d ) 16 , e ) e ) 19",e
"a certain clock marks every hour by striking a number of times equal to the hour , and the time require for a stroke is exactly equal to the time interval between strokes . at 6 : 00 the time lapse between the beginning of the first stoke and the end of the last stroke is 22 seconds . at 7 : 00 , how many seconds elapse between the beginning of the first stroke and the end of the last stroke ?",26,"a ) 26 , b ) 29 , c ) 19 , d ) 30 , e ) 40",a
15 men can complete a piece of work in 25 days . in how many days can 20 men complete that piece of work ?,18.75,"a ) 55 days , b ) 18.75 days , c ) 20 days , d ) 88 days , e ) 44 days",b
"if n is a prime number greater than 5 , what is the remainder when n ^ 2 is divided by 23 ?",3,"a ) 0 , b ) 1 , c ) 2 , d ) 3 , e ) 5",d
the sum of all solutions for x in the equation x ^ 2 – 8 x + 21 = | x – 2 | + 5 is equal to :,18,"a ) – 7 , b ) 7 , c ) 10 , d ) 12 , e ) 18",e
"the price of commodity x increases by 30 cents every year , while the price of commodity y increases by 20 cents every year . if in 2001 , the price of commodity x was $ 4.20 and the price of commodity y was $ 4.40 , in which year will commodity x cost 40 cents more than the commodity y ?",2007,"a ) 2007 , b ) 2008 , c ) 2009 , d ) 2010 , e ) 2011",a
a 300 metre long train crosses a platform in 39 seconds while it crosses a post in 18 seconds . what is the length of the platform ?,350,"a ) 150 m , b ) 350 m , c ) 420 m , d ) 600 m , e ) 700 m",b
what is the remainder when 1034 * 1047 * 1050 * 1053 is divided by 33 ?,0,"a ) 0 , b ) 27 , c ) 30 , d ) 21 , e ) 18",a
"39 persons can repair a road in 24 days , working 5 hours a day . in how many days will 30 persons , working 6 hours a day , complete the work ?",26,"a ) 10 , b ) 13 , c ) 14 , d ) 15 , e ) 26",e
1 / 0.04 is equal to,25,"a ) 25.5 , b ) 2.5 , c ) 25 , d ) . 25 , e ) none of these",c
"a retail appliance store priced a video recorder at 20 percent above the wholesale cost of $ 200 . if a store employee applied the 30 percent employee discount to the retail price to buy the recorder , how much did the employee pay for the recorder ?",168,"a ) $ 198 , b ) $ 216 , c ) $ 220 , d ) $ 230 , e ) $ 168",e
"on dividing a number by 56 , we get 27 as remainder . on dividing the same number by 8 , what will be the remainder ?",3,"a ) 2 , b ) 3 , c ) 4 , d ) 5 , e ) 6",b
what sum of money will produce rs . 90 as simple interest in 4 years at 3 1 / 2 percent ?,642.9,"a ) 263 , b ) 500 , c ) 367 , d ) 642.9 , e ) 339",d
a and b enter into a partnership . a contributed rs . 5000 for 8 months and b rs . 6000 for 5 months . find a ' s share in a total profit of rs . 8400 .,4800,"a ) rs . 4800 , b ) rs . 2400 , c ) rs . 3600 , d ) rs . 5600 , e ) none of these",a
"company a imported 10,000 widgets made of either brass or aluminum . the widgets are painted blue , red or green . if 20 percent of the widgets are made of brass and of those 20 percent are painted green and 40 percent are painted red how many brass widgets painted blue were imported ?",800,"a ) 420 , b ) 840 , c ) 800 , d ) 1680 , e ) 2100",c
"a honey bee flies for 10 seconds , from a daisy to a rose . it immediately continues to a poppy , flying for 6 additional seconds . the distance the bee passed , flying from the daisy to the rose is 6 meters longer than the distance it passed flying from the rose to the poppy . the bee flies to the poppy at 3 meters per second faster than her speed flying to the rose . the bee flies how many meters per second from the daisy to the rose ?",3,"a ) 3 , b ) 5 , c ) 6 , d ) 8 , e ) 10",a
"a rectangular lawn of dimensions 80 m * 40 m has two roads each 10 m wide running in the middle of the lawn , one parallel to the length and the other parallel to the breadth . what is the cost of traveling the two roads at rs . 3 per sq m ?",3300,"a ) 2288 , b ) 2779 , c ) 3300 , d ) 3900 , e ) 2781",c
"there is enough provisions for 1200 girls in a hostel for 50 days . if there were 600 girls less , how long will the provision last ?",100,"a ) 75 , b ) 80 , c ) 90 , d ) 95 , e ) 100",e
"a , b and c have rs . 300 between them , a and c together have rs . 200 and b and c rs . 350 . how much does c have ?",250,"a ) a ) 250 , b ) b ) 249 , c ) c ) 248 , d ) d ) 247 , e ) e ) 246",a
"united telephone charges a base rate of $ 7.00 for service , plus an additional charge of $ 0.25 per minute . atlantic call charges a base rate of $ 12.00 for service , plus an additional charge of $ 0.20 per minute . for what number of minutes would the bills for each telephone company be the same ?",100,"a ) 200 minutes , b ) 100 minutes , c ) 120 minutes , d ) 140 minutes , e ) 160 minutes",b
"there are 50 students in a class . if 12 % are absent on a particular day , find the number of students present in the class .",44,"a ) 43 , b ) 36 , c ) 28 , d ) 129 , e ) 44",e
how many gallons of milk that is 10 percent butter - fat must be added to 8 gallons of milk that is 50 percent butterfat to obtain milk that is 20 percent butterfat ?,24,"a ) 6 , b ) 12 , c ) 14 , d ) 24 , e ) 28",d
"can c and can в are both right circular cylinders . the radius of can c is twice the radius of can b , while the height of can c is half the height of can b . if it costs $ 4.00 to fill half of can b with a certain brand of gasoline , how much would it cost to completely fill can c with the same brand of gasoline ?",16,"a ) $ 1 , b ) $ 2 , c ) $ 4 , d ) $ 8 , e ) $ 16",e
"a certain family has 3 sons : richard is 6 years older than david , and david is 8 years older than scott . if in 8 years , richard will be twice as old as scott , then how old was david 3 years ago ?",11,"a ) 11 , b ) 10 , c ) 12 , d ) 14 , e ) 16",a
"6 years ago , the ratio of the ages of vimal and saroj was 6 : 5 . 4 years hence , the ratio of their ages will be 11 : 10 . what is saroj ' s age at present ?",16,"a ) 12 , b ) 14 , c ) 16 , d ) 18 , e ) 15",c
"a boat can travel with a speed of 13 km / hr in still water . if the speed of the stream is 5 km / hr , find the time taken by the boat to go 70 km downstream .",3.8,"a ) 4.25 hr , b ) 3.8 hr , c ) 8.25 hr , d ) 2.25 hr , e ) 2.50 hr",b
"a and b undertake to do a piece of work for rs . 600 . a alone can do it in 6 days while b alone can do it in 8 days . with the help of c , they finish it in 3 days . ! find the share of each .",75,"a ) 25 , b ) 50 , c ) 75 , d ) 80 , e ) none of them",c
"how many even integers n , such that 20 < = n < = 220 are of the form 3 k + 4 , where k is any natural number ?",34,"a ) 28 , b ) 31 , c ) 34 , d ) 37 , e ) 40",c
"the edges of three metal cubes are 1 cm , 3 cm , and 4 cm respectively . a new cube is made by melting these three cubes together . what is the edge of the new cube ( in centimeters ) ?",4.5,"a ) 3.9 , b ) 4.2 , c ) 4.5 , d ) 4.8 , e ) 5.1",c
an inspector rejects 10 % of the meters as defective . how many will he examine to reject 12 ?,120,"a ) a ) 100 , b ) b ) 120 , c ) c ) 250 , d ) d ) 200 , e ) e ) 160",b
a cubical block of metal weighs 8 pounds . how much will another cube of the same metal weigh if its sides are twice as long ?,64,"a ) 48 , b ) 32 , c ) 24 , d ) 18 , e ) 64",e
"of the final grades received by the students in a certain math course , 1 / 5 are a ' s , 1 / 4 are b ' s , 1 / 2 are c ' s , and the remaining 20 grades are d ' s . what is the number of students in the course ?",400,"a ) 80 , b ) 110 , c ) 160 , d ) 200 , e ) 400",e
how many pieces of 0.85 meteres can be cut from a rod 42.5 meteres long,50,"a ) 30 , b ) 40 , c ) 50 , d ) 60 , e ) 70",c
"ratio between rahul and deepak is 5 : 2 , after 6 years rahul age will be 26 years . what is deepak present age .",8,"a ) 14 , b ) 15 , c ) 8 , d ) 22 , e ) 24",c
"in what time will a train 400 m long cross an electric pole , it its speed be 144 km / hr ?",10.0,"a ) 2.5 sec , b ) 12.9 sec , c ) 11.3 sec , d ) 21.9 sec , e ) 10.0 sec",e
set a consists of all the prime numbers between 62 and 85 . what is the range of set a ?,16,"a ) 12 , b ) 13 , c ) 16.6 , d ) 16 , e ) 23",d
"a fruit seller had some apples . he sells 60 % apples and still has 300 apples . originally , he had :",750,"a ) 656 apples , b ) 700 apples , c ) 750 apples , d ) 780 apples , e ) 800 apples",c
"s ( n ) is a n - digit number formed by attaching the first n perfect squares , in order , into one integer . for example , s ( 1 ) = 1 , s ( 2 ) = 14 , s ( 3 ) = 149 , s ( 4 ) = 14916 , s ( 5 ) = 1491625 , etc . how many digits w are in s ( 99 ) ?",353,"a ) w = 350 , b ) w = 353 , c ) w = 354 , d ) 356 , e ) 357",b
a candidate got 35 % of the votes and lost to the rival by 1650 votes . how many votes were cast ?,5500,"a ) 5000 , b ) 5500 , c ) 6000 , d ) 6500 , e ) 7000",b
"a certain car traveled twice as many miles from town a to town b as it did from town b to town c . from town a to town b , the car averaged 8 miles per gallon , and from town b to town c , the car averaged 18 miles per gallon . what is the average miles per gallon that the car achieved on its trip from town a through town b to town c ?",15.5,"a ) 13 , b ) 15.5 , c ) 14 , d ) 14.5 , e ) 15",b
the total age of a and b is 10 years more than the total age of b and c . c is how many years younger than a . ?,10,"a ) 16 , b ) 12 , c ) 10 , d ) 20 , e ) 10",c
"if the area of a circle is 25 pi square feet , find its circumference .",10,"a ) 10 pi feet , b ) 28 pi feet , c ) 38 pi feet , d ) 48 pi feet , e ) 58 pi feet",a
"excluding stoppages , the speed of a train is 67 kmph and including stoppages it is 51 kmph . of how many minutes does the train stop per hour ?",14,"a ) 82 , b ) 17 , c ) 14 , d ) 82 , e ) 18",c
"the sides of a square region , measured to the nearest centimeter , are 9 centimeters long . the least possible value of the actual area of the square region is",56.25,"a ) 60.25 sq cm , b ) 66.25 sq cm , c ) 56.25 sq cm , d ) 72.25 sq cm , e ) 58.25 sq cm",c
the average runs of a cricket player of 8 innings was 24 . how many runs must he make in his next innings so as to increase his average of runs by 8 ?,96,"a ) 12 , b ) 42 , c ) 64 , d ) 96 , e ) 84",d
"if jack walked 4 miles in 1 hour and 15 minutes , what was his rate of walking in miles per hour ?",3.2,"a ) 3.2 , b ) 4.5 , c ) 6 , d ) 6.25 , e ) 15",a
"yesterday it took robert 6 hours to drive from city a to city b . today it took robert 4.5 hours to drive back from city в to city a along the same route . if he had saved 30 minutes in both trips , the speed for the round trip would be 90 miles per hour . what is the distance between city a and city b ?",430,"a ) 90 , b ) 120 , c ) 150 , d ) 440 , e ) 430",e
a number consists of 3 digits whose sum is 10 . the middle digit is equal to the sum of the other two and the number will be increased by 99 if its digits are reversed . the number is :,253,"a ) 251 , b ) 253 , c ) 255 , d ) 257 , e ) 260",b
how many seconds will a train 110 meters long take to cross a railway platform 165 meters long if the speed of the train is 132 kmph ?,7.5,"a ) 6 sec , b ) 7.5 sec , c ) 8 sec , d ) 3 sec , e ) 10 sec",b
50 percent of andrea ' s living room floor is covered by a carpet that is 4 feet by 9 feet . what is the area of her living room floor ?,64.8,"a ) 14.4 , b ) 180 / 7 , c ) 50.4 , d ) 64.8 , e ) 90",d
"if 213 × 16 = 3408 , then 1.6 × 213.0 is equal to :",340.8,"a ) 0.3408 , b ) 3.408 , c ) 34.08 , d ) 340.8 , e ) none of these",d
a train speeds past a pole in 15 seconds and a platform 100 m long in 25 seconds . its length is,150,"a ) 100 , b ) 120 , c ) 130 , d ) 150 , e ) 140",d
"the population of a bacteria colony doubles every day . if it was started 3 days ago with 3 bacteria and each bacteria lives for 12 days , how large is the colony today ?",1024,"a ) 512 , b ) 1024 , c ) 768 , d ) 2048 , e ) 4096",b
"the h . c . f of two numbers is 15 and their l . c . m is 3300 . if one of the numbers is 225 , then the other is ?",220,"a ) 200 , b ) 210 , c ) 220 , d ) 230 , e ) 240",c
"{ 5 , 6 , 3 , 8 , 4 } if we want to get the median value of the set to be 10 which value should be inserted in the set of 5 values ?",7,"a ) 5 , b ) 7 , c ) 15 , d ) 12 , e ) 13",b
the area of a rhombus is equal to the area of a square whose side length is 8 cm . if one of the diagonals is 16 cm what is the length of other diagonal ?,8,"['a ) 4', 'b ) 8', 'c ) 12', 'd ) 16', 'e ) 20']",b
"in a kilometer race , a beats b by 20 meters or 10 seconds . what time does a take to complete the race ?",490,"a ) 290 sec , b ) 190 sec , c ) 199 sec , d ) 192 sec , e ) 490 sec",e
a positive number when decreased by 4 is equal to 21 times the reciprocal of the number . the number is,7,"a ) 3 , b ) 5 , c ) 7 , d ) 9 , e ) 12",c
at what price must an book costing $ 47.50 be marked in order that after deducting 5 % from the list price . it may be sold at a profit of 25 % on the cost price ?,62.5,"a ) 72.5 , b ) 55.5 , c ) 62.5 , d ) 82.5 , e ) 60.5",c
a car consumes 210 liters of petrol weekly . for how many days will 1470 liters of petrol be sufficient ?,49,"a ) 38 , b ) 20 , c ) 28 , d ) 49 , e ) 10",d
the sum of two consecutive integers is 61 . find the numbers .,18,"a ) 17 , 18 , b ) 30,31 , c ) 5 , 6 , d ) 1 , 2 , e ) 8 , 9",b
cuboid volume and base area are 144 m ^ 3 and 18 m ^ 3 respectively . find the height of a cuboid ?,8,"['a ) 5 m', 'b ) 12 m', 'c ) 6 m', 'd ) 8 m', 'e ) 10 m']",d
how many positive even integers less than 100 contain digits 7 or 9 ?,10,"a ) 16 , b ) 17 , c ) 18 , d ) 19 , e ) 10",e
"in a group of 650 readers who read science fiction or literacy works or both , 250 read science fiction and 550 read literacy works . how many read both science fiction and literacy works ?",150,"a ) 650 , b ) 250 , c ) 150 , d ) 100 , e ) 400",c
"if anangletis defined as 1 percent of 1 degree , then how many anglets are there in one half circle ?",18,"a ) 0.36 , b ) 3.6 , c ) 360 , d ) 18,000 , e ) 36,000",d
the speed of a car is 80 km in the first hour and 40 km in the second hour . what is the average speed of the car ?,60,"a ) 72 kmph , b ) 60 kmph , c ) 30 kmph , d ) 80 kmph , e ) 82 kmph",b
two trains 200 m and 250 m long run at the speed of 72 kmph and 18 kmph in opposite directions in parallel tracks . the time which they take to cross each other is ?,18,"a ) 5.6 sec , b ) 8.9 sec , c ) 10.8 sec , d ) 12.6 sec , e ) 18 sec",e
"the “ length of integer x ” refers to the number of prime factors , not necessarily distinct , that x has . ( if x = 60 , the length of x would be 4 because 60 = 2 × 2 × 3 × 5 . ) what is the greatest possible length of integer z if z < 3000 ?",11,"a ) 7 , b ) 9 , c ) 11 , d ) 13 , e ) 15",c
"a cistern is filled by a tap in 4 1 / 2 hours . due to leak in the bottom of the cistern , it takes half an hour longer to fill the cistern . if the cistern is full how many hours will it take the leak to empty it ?",45,"a ) 30 , b ) 36 , c ) 42 , d ) 45 , e ) 48",d
what is ( 19 ^ 7 + 19 ) / 19 ?,47045882,"a ) 45225766 , b ) 46855821 , c ) 47045882 , d ) 48925947 , e ) 49325989",c
"a certain galaxy is known to comprise approximately 6 x 10 ^ 11 stars . of every 50 million of these stars , one is larger in mass than our sun . approximately how many stars in this galaxy are larger than the sun ?",8,"a ) 800 , b ) 1,250 , c ) 8,000 , d ) 12,000 , e ) 80,000",d
what is the remainder when 4 ^ 381 is divided by 5 ?,4,"a ) 0 , b ) 1 , c ) 2 , d ) 3 , e ) 4",e
the present population of a town is 1000 . population increase rate is 25 % p . a . find the population of town before 1 years ?,800,"a ) 800 , b ) 1500 , c ) 1000 , d ) 750 , e ) 500",a
a garrison of 400 men had a provision for 31 days . after 28 days 300 persons re - enforcement leave the garrison . find the number of days for which the remaining ration will be sufficient ?,12,"a ) 65 days , b ) 45 days , c ) 10 days , d ) 16 days , e ) 12 days",e
two trains 140 m and 210 m long run at the speed of 60 km / hr and 40 km / hr respectively in opposite directions on parallel tracks . the time which they take to cross each other is ?,12.6,"a ) 12.6 sec , b ) 10.1 sec , c ) 10.6 sec , d ) 10.8 sec , e ) 10.2 sec",a
"for the positive integers x , x + 2 , x + 4 , x + 7 , and x + 17 , the mean is how much greater than the median ?",2,"a ) 0 , b ) 1 , c ) 2 , d ) 4 , e ) 7",c
"a man rows his boat 84 km downstream and 60 km upstream , taking 4 hours each time . find the speed of the stream ?",3,"a ) 76 kmph , b ) 6 kmph , c ) 14 kmph , d ) 8 kmph , e ) 3 kmph",e
"a train is moving at a speed of 132 km / hour . if the length of the train is 110 meters , how long will it take to cross a railway platform 165 meters long .",7.5,"a ) 7 second , b ) 7.5 second , c ) 8 second , d ) 8.5 second , e ) none of these",b
"10 machines , each working at the same constant rate , together can complete a certain job in 12 days . how many additional machines , each working at the same constant rate , will be needed to complete the job in 8 days ?",5,"a ) 2 , b ) 3 , c ) 4 , d ) 5 , e ) 8",d
how many 4 - digit positive integers are multiple of each integer from 1 to 10,2520,"a ) 1520 , b ) 2520 , c ) 3520 , d ) 5140 , e ) 7660",b
"a water tank is one - fifth full . pipe a can fill a tank in 10 minutes and pipe b can empty it in 6 minutes . if both the pipes are open , how many minutes will it take to empty or fill the tank completely ?",3,"a ) 3 , b ) 6 , c ) 9 , d ) 12 , e ) 15",a
a woman complete a journey in 10 hours . she travels first half of the journey at the rate of 21 km / hr and second half at the rate of 24 km / hr . find the total journey in km .,224,"a ) 334 km . , b ) 216 km . , c ) 314 km . , d ) 224 km . , e ) 544 km .",d
the speed of a train is 80 kmph . what is the distance covered by it in 6 minutes ?,8,"a ) 15 kmph , b ) 11 kmph , c ) 18 kmph , d ) 8 kmph , e ) 12 kmph",d
"if 50 % of the 880 students at a certain college are enrolled in biology classes , how many students at the college are not enrolled in a biology class ?",440,"a ) 560 , b ) 540 , c ) 520 , d ) 440 , e ) 500",d
sum of two numbers is 10 . two times of the first exceeds by 5 from the three times of the other . then the numbers will be ?,7,"a ) a ) 7 , b ) b ) 9 , c ) c ) 11 , d ) d ) 13 , e ) e ) 15",a
ram covers a part of the journey at 20 kmph and the balance at 70 kmph taking total of 8 hours to cover the distance of 400 km . how many hours has been driving at 20 kmph ?,3.2,"a ) 3.2 hr , b ) 3.4 hr , c ) 3.6 hr , d ) 3.8 hr , e ) 4.2 hr",a
a shopkeeper sells 10 % of his stock at 20 % profit ans sells the remaining at a loss of 5 % . he incurred an overall loss of rs . 400 . find the total worth of the stock ?,16000,"a ) 20000 , b ) 16000 , c ) 18000 , d ) 17000 , e ) 15000",b
"in one hour , a boat goes 13 km along the stream and 9 km against the stream . the speed of the boat in still water ( in km / hr ) is :",11,"a ) 3 , b ) 5 , c ) 11 , d ) 9 , e ) 10",c
"if 5 spiders make 2 webs in 8 days , then how many days are needed for 1 spider to make 1 web ?",20,"a ) 10 , b ) 15 , c ) 30 , d ) 20 , e ) 16",d
"audrey 4 hours to complete a certain job . ferris can do the same job in 3 hours . audrey and ferris decided to collaborate on the job , working at their respective rates . while audrey worked continuously , ferris took 6 breaks of equal length . if the two completed the job together in 2 hours , how many minutes long was each of ferris ’ breaks ?",5,"a ) 2 , b ) 5 , c ) 15 , d ) 20 , e ) 25",b
"by selling an article at rs . 250 , a profit of 25 % is made . find its cost price ?",200,"a ) s . 486 , b ) s . 455 , c ) s . 220 , d ) s . 480 , e ) s . 200",e
"a can do a work in 6 days , b can do a work in 8 days and c can do it in 12 days . b left work after 6 days . for how many number of days should a and c should work together to complete the remaining work ?",1,"a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5",a
4 guys buy same cellphones cost them 250 each . two guy have 25 % of for his first cellphone . what is the total cost all of them pay to seller .,875,"a ) 1000 , b ) 850 , c ) 875 , d ) 775 , e ) 750",c
15 : 5 seconds : : ? : 10 minutes,30,"a ) 10 , b ) 15 , c ) 30 , d ) 25 , e ) 30",c
a train 75 m long takes 6 sec to cross a man walking at 5 kmph in a direction opposite to that of the train . find the speed of the train ?,40,"a ) 35 kmph , b ) 40 kmph , c ) 45 kmph , d ) 50 kmph , e ) 55 kmph",b
