question,answer,qA
"#Q Name the route running from South Vietnam through Laos and Cambodia into North Vietnam, used by North Vietnamese for sending soldiers to the south and for supplying the NLF (National Liberation Front ).
",Ho Chi Minh Trail,"['#Q Name the route running from South Vietnam through Laos and Cambodia into North Vietnam, used by North Vietnamese for sending soldiers to the south and for supplying the NLF (National Liberation Front ).\n'
 '^ Ho Chi Minh Trail\n' 'A Bao Dai Trail\n' 'B Diem Trail\n'
 'C Chi Thien Trail\n' 'D Ho Chi Minh Trail\n']"
"#Q This American diplomat and statesman served as a National Security Advisor and later as a Secretary of State. He was awarded the 1973 Nobel Peace Prize for his role in negotiating a ceasefire and US withdrawal from the war in Vietnam.
",Henry Kissinger,"['#Q This American diplomat and statesman served as a National Security Advisor and later as a Secretary of State. He was awarded the 1973 Nobel Peace Prize for his role in negotiating a ceasefire and US withdrawal from the war in Vietnam.\n'
 '^ Henry Kissinger\n' 'A Dean Rusk\n' 'B Henry Kissinger\n'
 'C Robert McNamara\n' 'D William Westmoreland\n']"
"#Q This American was sentenced to life in prison, because in 1968 he led the My Lai massacre of Vietnamese civilians, including women, children and elderly men.
",William Calley,"['#Q This American was sentenced to life in prison, because in 1968 he led the My Lai massacre of Vietnamese civilians, including women, children and elderly men.\n'
 '^ William Calley\n' 'A Clark Clifford\n' 'B John Kerry\n'
 'C William Calley\n' 'D Ernest Medina\n']"
"#Q In this film, set during the Vietnam war, the following words are delivered by Lieutenant Colonel Bill Kilgore:  You smell that? Do you smell that? Napalm, son. Nothing else in the world smells like that. I love the smell of napalm in the morning.
",Apocalypse Now,"['#Q In this film, set during the Vietnam war, the following words are delivered by Lieutenant Colonel Bill Kilgore:  You smell that? Do you smell that? Napalm, son. Nothing else in the world smells like that. I love the smell of napalm in the morning.\n'
 '^ Apocalypse Now\n' 'A The Deer Hunter\n' 'B Apocalypse Now\n'
 'C Platoon\n' 'D Casualties of War\n']"
"#Q Two months after South Carolina seceded from the Union on December 21, 1860, Mississippi, Florida, Alabama, Georgia, and North Carolina voted to secede as well.
",False,"['#Q Two months after South Carolina seceded from the Union on December 21, 1860, Mississippi, Florida, Alabama, Georgia, and North Carolina voted to secede as well.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q What Union General in charge was defeated during the First Battle of Bull Run, the first major land battle of the American Civil War?\n']"
"#Q What Union General in charge was defeated during the First Battle of Bull Run, the first major land battle of the American Civil War?
",McDowell,"['#Q What Union General in charge was defeated during the First Battle of Bull Run, the first major land battle of the American Civil War?\n'
 '^ McDowell\n' 'A Fremont\n' 'B Hunter\n' 'C McClellan\n' 'D McDowell\n']"
"#Q During the American Civil War, in April 1862, Union Flag Officer David Farragut, who was in command of the West Gulf Blockading Squadron, took control of which vital port of the South?
",New Orleans,"['#Q During the American Civil War, in April 1862, Union Flag Officer David Farragut, who was in command of the West Gulf Blockading Squadron, took control of which vital port of the South?\n'
 '^ New Orleans\n' 'A Tampa\n' 'B New Orleans\n' 'C Mobile\n'
 'D Charleston\n']"
"#Q After the death of this Confederate general on on May 10, 1863, General Lee remarked, I have lost my right arm.
",Jackson,"['#Q After the death of this Confederate general on on May 10, 1863, General Lee remarked, I have lost my right arm.\n'
 '^ Jackson\n' 'A Pickett\n' 'B Jackson\n' 'C Boregaurd\n' 'D Armstrong\n']"
"#Q What African American Regiment helped to assault Fort Wagner in South Carolina during the American Civil War?
",54th Massachusetts,"['#Q What African American Regiment helped to assault Fort Wagner in South Carolina during the American Civil War?\n'
 '^ 54th Massachusetts\n' 'A 31st Connecticut\n' 'B 22nd Pennsylvania\n'
 'C 52nd New York\n' 'D 54th Massachusetts\n']"
"#Q Which general commanded the Confederate forces at the Battle of Gettysburg, that started on July 1, 1863?
",Robert E. Lee,"['#Q Which general commanded the Confederate forces at the Battle of Gettysburg, that started on July 1, 1863?\n'
 '^ Robert E. Lee\n' 'A George Meade\n' 'B George Pickett\n'
 'C Robert E. Lee\n' 'D James Longstreet\n']"
"#Q Ulysses S. Grant and Robert E. Lee served together in which military conflict, regarded as a prelude to the American Civil War?
",Mexican War,"['#Q Ulysses S. Grant and Robert E. Lee served together in which military conflict, regarded as a prelude to the American Civil War?\n'
 '^ Mexican War\n' 'A Indian War\n' 'B Mexican War\n' 'C Harpers Ferry\n'
 'D Bleeding Kansas\n']"
"#Q What play was President Lincoln watching at Fords Theatre, when he was assassinated by a Southern sympathizer from Maryland?
",Our American Cousin,"['#Q What play was President Lincoln watching at Fords Theatre, when he was assassinated by a Southern sympathizer from Maryland?\n'
 '^ Our American Cousin\n' 'A Othello\n' 'B Our American Cousin\n'
 'C Our Fair Lady\n' 'D Macbeth\n']"
"#Q The Battle of Worcester, the Battle of Hopton Heath, and the Battle of Winceby are just three of the battles during this civil war.
",English Civil War,"['#Q The Battle of Worcester, the Battle of Hopton Heath, and the Battle of Winceby are just three of the battles during this civil war.\n'
 '^ English Civil War\n' 'A Irish Civil War\n'
 'B English Wars of the Roses\n' 'C American Civil War\n'
 'D English Civil War\n']"
"#Q The Battle of Grunwald, the Battle of Chojnice, and the Battle of Swiecin are three battles fought during this war.
",Thirteen Years War,"['#Q The Battle of Grunwald, the Battle of Chojnice, and the Battle of Swiecin are three battles fought during this war.\n'
 '^ Thirteen Years War\n' 'A Breton War of Succession\n' 'B Onin War\n'
 'C War of Scottish Independence\n' 'D Thirteen Years War\n']"
"#Q The Battle of Ludford Bridge, the First Battle of St Albans, and the Battle of Blore Heath are three battles fought during this war.
",Wars of the Roses,"['#Q The Battle of Ludford Bridge, the First Battle of St Albans, and the Battle of Blore Heath are three battles fought during this war.\n'
 '^ Wars of the Roses\n' 'A Norman Conquest\n' 'B Hundred Years War\n'
 'C Swabian War\n' 'D Wars of the Roses\n']"
"#Q The Battle of Sandepu, the Battle of Mukden, and the Battle of Dairen are just three of the battles fought during this war.
",Russo-Japanese War,"['#Q The Battle of Sandepu, the Battle of Mukden, and the Battle of Dairen are just three of the battles fought during this war.\n'
 '^ Russo-Japanese War\n' 'A Russo-Japanese War\n'
 'B Long March in China\n' 'C Second Sino-Japanese War\n'
 'D First Sino-Japanese War\n']"
"#Q The Battle of Passchendaele, the Battle of Cer, and the Battle of the Frontiers were fought during this war.
",WWI,"['#Q The Battle of Passchendaele, the Battle of Cer, and the Battle of the Frontiers were fought during this war.\n'
 '^ WWI\n' 'A WWI\n' 'B Turco-Italian War\n' 'C Polish-Soviet War\n'
 'D Czechoslovak-Polish War\n']"
"#Q The Battle of El Alamein, the Battle of Narvik, and the Battle of Crete were fought during this war.
",WWII,"['#Q The Battle of El Alamein, the Battle of Narvik, and the Battle of Crete were fought during this war.\n'
 '^ WWII\n' 'A WWI\n' 'B WWII\n' 'C Great Poland Uprising\n'
 'D Polish-Lithuanian War\n']"
"#Q The Battle of the Nile, the Battle of Radzyn, and the Battle of Aspern-Essling.
",Napoleonic Wars,"['#Q The Battle of the Nile, the Battle of Radzyn, and the Battle of Aspern-Essling.\n'
 '^ Napoleonic Wars\n' 'A The Great Game\n' 'B Napoleonic Wars\n'
 'C Wars of Scottish Independence\n' 'D Ten Great Campaigns\n']"
"#Q The Battle of Custoza, the Battle of Palestro, and the Battle of Calatafimi.
",Italian Independence wars,"['#Q The Battle of Custoza, the Battle of Palestro, and the Battle of Calatafimi.\n'
 '^ Italian Independence wars\n' 'A Italian Independence wars\n'
 'B Turco-Italian War\n' 'C Italian Wars\n'
 'D Second Italo-Abyssinian War\n']"
"#Q The Battle of Uji, the Battle of Dan-no-ura, and the Battle of Muroyama were all fought during this war.
",Genpei War,"['#Q The Battle of Uji, the Battle of Dan-no-ura, and the Battle of Muroyama were all fought during this war.\n'
 '^ Genpei War\n' 'A First Sino-Japanese War\n' 'B Genpei War\n'
 'C Wars of Sengoku Period in Japan\n' 'D Russo-Japanese War\n']"
"#Q The Battle of Ap Bac, the Battle of Dak To, and the Battle of Hamburger Hill.
",Vietnam War,"['#Q The Battle of Ap Bac, the Battle of Dak To, and the Battle of Hamburger Hill.\n'
 '^ Vietnam War\n' 'A Korean War\n' 'B Ogaden War\n' 'C Vietnam War\n'
 'D Indonesia-Malaysia confrontation\n']"
"#Q The allies of WW2 initially consisted of three countries, which were later joined by others. Which of these countries never joined the Allies?
",Japan,"['#Q The allies of WW2 initially consisted of three countries, which were later joined by others. Which of these countries never joined the Allies?\n'
 '^ Japan\n' 'A Japan\n' 'B Italy\n' 'C China\n' 'D France\n']"
"#Q Which was the formal reason for the end of World War II, on September 2, 1945?
",The formal surrender of Japan,"['#Q Which was the formal reason for the end of World War II, on September 2, 1945?\n'
 '^ The formal surrender of Japan\n' 'A The surrender of Germany\n'
 'B The number of civilians that had died\n'
 'C The usage of an increased number of atomic weapons\n'
 'D The formal surrender of Japan\n']"
"#Q What two countries were invaded by Germany on 9 April 1940?
",Norway and Denmark,"['#Q What two countries were invaded by Germany on 9 April 1940?\n'
 '^ Norway and Denmark\n' 'A Norway and Great Britain\n'
 'B Norway and France\n' 'C France and Denmark\n' 'D Norway and Denmark\n']"
"#Q In which month of 1940 did the Soviet Union occupy Latvia, Lithuania, and Estonia?
",June,"['#Q In which month of 1940 did the Soviet Union occupy Latvia, Lithuania, and Estonia?\n'
 '^ June\n' 'A May\n' 'B June\n' 'C August\n' 'D September\n']"
"#Q On 28 October 1940, launching the invasion from bases in Albania, Italy invaded this country.
",Greece,"['#Q On 28 October 1940, launching the invasion from bases in Albania, Italy invaded this country.\n'
 '^ Greece\n' 'A Greece\n' 'B Bulgaria\n' 'C Checzoslovakia\n'
 'D France\n']"
"#Q Nazi Germanys attempt at invading the Soviet Union, known as Operation Barbarossa, started on what date?
","22 June, 1941","['#Q Nazi Germanys attempt at invading the Soviet Union, known as Operation Barbarossa, started on what date?\n'
 '^ 22 June, 1941\n' 'A 22 July, 1941\n' 'B 22 June, 1941\n'
 'C 22 June, 1940\n' 'D 22 August, 1941\n']"
"#Q This strategic meeting between the heads of the governments of the United Kingdom and the United States took place from December 22, 1941 to January 14, 1942.
",The Arcadia Conference,"['#Q This strategic meeting between the heads of the governments of the United Kingdom and the United States took place from December 22, 1941 to January 14, 1942.\n'
 '^ The Arcadia Conference\n' 'A The Arcadia Conference\n'
 'B The Yalta Conference\n' 'C The Allied Conference\n'
 'D The Strategic Conference\n']"
"#Q What happened on July 14,1789?
",A mob of French peasants stormed the Bastille and started the French Revolution,"['#Q What happened on July 14,1789?\n'
 '^ A mob of French peasants stormed the Bastille and started the French Revolution\n'
 'A Japan opened ports to international shipping\n'
 'B Argentina gained independence from Spanish rule\n'
 'C The American Revolution ended\n'
 'D A mob of French peasants stormed the Bastille and started the French Revolution\n']"
"#Q Which of these events occurred on November  22, 1963?
",John F. Kennedy was assassinated in Dallas,"['#Q Which of these events occurred on November  22, 1963?\n'
 '^ John F. Kennedy was assassinated in Dallas\n'
 'A The United States bombed North Vietnam for the first time\n'
 'B Robert F. Kennedy was assassinated in Los Angeles\n'
 'C John F. Kennedy was assassinated in Dallas\n'
 'D The Beatles performed first concert in the US\n']"
"#Q The date November 11, 1918 is famous with what event?
",World War I ended,"['#Q The date November 11, 1918 is famous with what event?\n'
 '^ World War I ended\n'
 'A The first case of Asian flu was reported in the USA\n'
 'B Marie Curie discovered Radium\n' 'C World War I ended\n'
 'D Adolf  Hitler was born\n']"
"#Q What historical event took place on October 14, 1066 AD?
",England was conquered by the Normans in the Battle of Hastings,"['#Q What historical event took place on October 14, 1066 AD?\n'
 '^ England was conquered by the Normans in the Battle of Hastings\n'
 'A The Vikings landed in America\n' 'B The Muslims retook Jerusalem\n'
 'C The Chinese first used fireworks in battle\n'
 'D England was conquered by the Normans in the Battle of Hastings\n']"
"#Q What happened on July 4, 1826?
",Both Thomas Jefferson and John Adams died,"['#Q What happened on July 4, 1826?\n'
 '^ Both Thomas Jefferson and John Adams died\n'
 'A Andrew Jackson resigned as President\n'
 'B Russia declared war on Turkey, starting the Crimean War\n'
 'C The Mexican army crossed into Texas\n'
 'D Both Thomas Jefferson and John Adams died\n']"
"#Q What historical event occurred on March 15, 44 BC?
",Julius Caesar was assassinated by members of the Roman senate,"['#Q What historical event occurred on March 15, 44 BC?\n'
 '^ Julius Caesar was assassinated by members of the Roman senate\n'
 'A Julius Caesar was assassinated by members of the Roman senate\n'
 'B The first calendar was started by the Mayans in Central America\n'
 'C Korea gained independence from Japan\n'
 'D Mark Antony married Cleopatra\n']"
"#Q Which of these events took place on June 18, 1815?
",Napoleon was beaten at Waterloo,"['#Q Which of these events took place on June 18, 1815?\n'
 '^ Napoleon was beaten at Waterloo\n'
 'A The noble gas Neon was discovered\n'
 'B Russia claimed the territory of Alaska\n'
 'C Napoleon was beaten at Waterloo\n'
 'D Andrew Jackson and his troops defeated the British at New Orleans\n']"
"#Q Which of the following events happened on March,1692?
",The Salem witch trials began in New England,"['#Q Which of the following events happened on March,1692?\n'
 '^ The Salem witch trials began in New England\n'
 'A An earthquake in Mexico killed over 10,000\n'
 'B The Salem witch trials began in New England\n'
 'C General Braddock was killed by the French\n'
 'D The Indians sold Manhattan Island to the Dutch\n']"
"#Q The date July 2, 1937 is remembered with what event?
",Amelia Earhart and her co-pilot disappeared flying across the Pacific Ocean,"['#Q The date July 2, 1937 is remembered with what event?\n'
 '^ Amelia Earhart and her co-pilot disappeared flying across the Pacific Ocean\n'
 'A Japan bombed Shanghai, off the coast of China, killing over 2,000\n'
 'B Amelia Earhart and her co-pilot disappeared flying across the Pacific Ocean\n'
 'C The Spanish Civil War ended\n'
 'D Charles Lindbergh crossed the Atlantic\n']"
"#Q Which of these events occurred on December 29, 1170 AD?
","Thomas Becket, Archbishop of Canterbury, was slain in his church","['#Q Which of these events occurred on December 29, 1170 AD?\n'
 '^ Thomas Becket, Archbishop of Canterbury, was slain in his church\n'
 'A Thomas Becket, Archbishop of Canterbury, was slain in his church\n'
 'B Mongols crossed the Danube river into Hungary\n'
 'C Danish ships landed at Greenland and claimed it as a province\n'
 'D Black Plague began in Genoa, Italy\n']"
"#Q With what nations military did the US conduct desert exercises in 1981?
",Egypt,"['#Q With what nations military did the US conduct desert exercises in 1981?\n'
 '^ Egypt\n' 'A Iraq\n' 'B Saudi Arabia\n' 'C Egypt\n' 'D Iran\n']"
"#Q The US mining of what nations harbors created a congressional frenzy in April of 1984 and was  a case heard by the International Court of Justice?
",Nicaragua,"['#Q The US mining of what nations harbors created a congressional frenzy in April of 1984 and was  a case heard by the International Court of Justice?\n'
 '^ Nicaragua\n' 'A Japan\n' 'B Qatar\n' 'C Panama\n' 'D Nicaragua\n']"
"#Q The US Federal Governments deficit in 1983 exceeded $250 billion?
",False,"['#Q The US Federal Governments deficit in 1983 exceeded $250 billion?\n'
 '^ False\n' 'A False\n' 'B True\n' '\n'
 '#Q In what state was Claus von Bulow prosecuted?\n']"
"#Q In what state was Claus von Bulow prosecuted?
",Rhode Island,"['#Q In what state was Claus von Bulow prosecuted?\n' '^ Rhode Island\n'
 'A Rhode Island\n' 'B Arkansas\n' 'C Illinois\n' 'D Virginia\n']"
"#Q President Reagan was shot in 1981 as he left this hotel.
",The Washington Hilton,"['#Q President Reagan was shot in 1981 as he left this hotel.\n'
 '^ The Washington Hilton\n' 'A Ritz-Carlton, Washington DC\n'
 'B The Washington Hilton\n' 'C The St. Regis Washington DC\n'
 'D Park Hyatt, Washington\n']"
"#Q By 1983, less than 10% of all movie theaters in America had only one of these.
",Screen,"['#Q By 1983, less than 10% of all movie theaters in America had only one of these.\n'
 '^ Screen\n' 'A Stadium seating theater\n' 'B Ticket register\n'
 'C Concession stand\n' 'D Screen\n']"
"#Q What major comic book character underwent a costume change in 1984, wearing a suit that was black and white instead of blue and red?
",Spiderman,"['#Q What major comic book character underwent a costume change in 1984, wearing a suit that was black and white instead of blue and red?\n'
 '^ Spiderman\n' 'A Superman\n' 'B Spiderman\n' 'C Captain America\n'
 'D Batman\n']"
"#Q Iran invaded Iraq in 1981.
",False,"['#Q Iran invaded Iraq in 1981.\n' '^ False\n' 'A False\n' 'B True\n' '\n'
 '#Q The Battle of Gettysburg was fought on these dates.\n']"
"#Q The Battle of Gettysburg was fought on these dates.
","July 1-2-3, 1863","['#Q The Battle of Gettysburg was fought on these dates.\n'
 '^ July 1-2-3, 1863\n' 'A July 1-2-3, 1863\n' 'B June 28-29-30, 1863\n'
 'C September 4-5-6, 1863\n' 'D July 10-11-12, 1863\n']"
"#Q Robert E. Lee commanded the Confederate army at Gettysburg. Who led the Union forces?
",George Meade,"['#Q Robert E. Lee commanded the Confederate army at Gettysburg. Who led the Union forces?\n'
 '^ George Meade\n' 'A George Meade\n' 'B Winfield Scott\n'
 'C Daniel Sickles\n' 'D Ulysses Grant\n']"
"#Q Which of these landmarks could not be found on the Gettysburg battlefield?
",Hells Half Acre,"['#Q Which of these landmarks could not be found on the Gettysburg battlefield?\n'
 '^ Hells Half Acre\n' 'A Little Round Top\n' 'B Devils Den\n'
 'C Hells Half Acre\n' 'D Seminary Ridge\n']"
"#Q This twenty-year-old was the only civilian killed during the Battle of Gettysburg.
",Jennie Wade,"['#Q This twenty-year-old was the only civilian killed during the Battle of Gettysburg.\n'
 '^ Jennie Wade\n' 'A Benjamin Bryan\n' 'B Michael Cordori\n'
 'C Wesley Culp\n' 'D Jennie Wade\n']"
"#Q This 70-year-old citizen of Gettysburg grabbed his rifle during the first day of the battle and joined the Unions Iron Brigade. Not surprisingly, he was the only civilian to take part in the battle itself.
",John Burns,"['#Q This 70-year-old citizen of Gettysburg grabbed his rifle during the first day of the battle and joined the Unions Iron Brigade. Not surprisingly, he was the only civilian to take part in the battle itself.\n'
 '^ John Burns\n' 'A Donald Pfanz\n' 'B Richard Sommers\n'
 'C John Proctor\n' 'D John Burns\n']"
"#Q General Lees three corps commanders at Gettysburg were Longstreet,  A.P. Hill and who else?
",Richard Ewell,"['#Q General Lees three corps commanders at Gettysburg were Longstreet,  A.P. Hill and who else?\n'
 '^ Richard Ewell\n' 'A Richard Ewell\n' 'B Richard Garnett\n'
 'C Issac Trimble\n' 'D Johnston Pettigrew\n']"
"#Q This Union general was killed by a sniper on the first day of the Battle of Gettysburg.
",John Reynolds,"['#Q This Union general was killed by a sniper on the first day of the Battle of Gettysburg.\n'
 '^ John Reynolds\n' 'A Abner Doubleday\n' 'B Joshua Chamberlain\n'
 'C John Reynolds\n' 'D John Sedgwick\n']"
"#Q This cavalry officer commanded the Union cavalry at Gettysburg.
",John Buford,"['#Q This cavalry officer commanded the Union cavalry at Gettysburg.\n'
 '^ John Buford\n' 'A George Custer\n' 'B John Buford\n'
 'C Judson Kilpatrick\n' 'D Wesley Merritt\n']"
"#Q Abraham Lincoln signed the Emancipation Proclamation shortly after the Battle of Gettysburg.
",False,"['#Q Abraham Lincoln signed the Emancipation Proclamation shortly after the Battle of Gettysburg.\n'
 '^ False\n' 'A False\n' 'B True\n' '\n'
 '#Q WW II started on September 1, 1939 when Germany invaded which country?\n']"
"#Q WW II started on September 1, 1939 when Germany invaded which country?
",Poland,"['#Q WW II started on September 1, 1939 when Germany invaded which country?\n'
 '^ Poland\n' 'A Poland\n' 'B The Soviet Union\n' 'C Austria\n'
 'D Czechoslovakia\n']"
"#Q At the beginning of WW II, The British and the French were so surprised by the swiftness of the German attack on its neighbor that for some time no response ensued. This period lasted till May, 1940 and is known by what name?
",Phony War,"['#Q At the beginning of WW II, The British and the French were so surprised by the swiftness of the German attack on its neighbor that for some time no response ensued. This period lasted till May, 1940 and is known by what name?\n'
 '^ Phony War\n' 'A Phony War\n' 'B Blitzkrieg\n' 'C Anschluss\n'
 'D Boer War\n']"
"#Q In February 1945, Churchill, Roosevelt and Stalin met in Yalta to discuss the future of  post - war Europe. The Yalta Conference produced important decisions, one of which stated that there would be free elections in Czechoslovakia.
",False,"['#Q In February 1945, Churchill, Roosevelt and Stalin met in Yalta to discuss the future of  post - war Europe. The Yalta Conference produced important decisions, one of which stated that there would be free elections in Czechoslovakia.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q This operation, led by General Dwight Eisenhower, was launched on 8 November 1942 and it was aimed at gaining control over Morocco and Algeria.\n']"
"#Q This operation, led by General Dwight Eisenhower, was launched on 8 November 1942 and it was aimed at gaining control over Morocco and Algeria.
",Operation Torch,"['#Q This operation, led by General Dwight Eisenhower, was launched on 8 November 1942 and it was aimed at gaining control over Morocco and Algeria.\n'
 '^ Operation Torch\n' 'A Operation Overlord\n' 'B Operation Anthropoid\n'
 'C Operation Torch\n' 'D Operation Countenance\n']"
"#Q The Tripartite Pact was signed on September 27, 1940 by Germany, Italy and Japan. Later, three more countries joined - Hungary, Romania and Bulgaria. When did Bulgaria join the pact?
","March 1, 1941","['#Q The Tripartite Pact was signed on September 27, 1940 by Germany, Italy and Japan. Later, three more countries joined - Hungary, Romania and Bulgaria. When did Bulgaria join the pact?\n'
 '^ March 1, 1941\n' 'A November 20, 1940\n' 'B March 3, 1941\n'
 'C November 23, 1940\n' 'D March 1, 1941\n']"
"#Q This May 1942 battle was the first one to be fought only by aircraft carriers.
",Battle of the Coral Sea,"['#Q This May 1942 battle was the first one to be fought only by aircraft carriers.\n'
 '^ Battle of the Coral Sea\n' 'A Battle of the Coral Sea\n'
 'B Battle of Midway\n' 'C Battle of the Aleutian Islands\n'
 'D Battle of the Leyte Gulf\n']"
"#Q Even though mainland Britain was not actually invaded in World War II, it had prepared a resistance movement, known under what name?
",Auxiliary Units,"['#Q Even though mainland Britain was not actually invaded in World War II, it had prepared a resistance movement, known under what name?\n'
 '^ Auxiliary Units\n' 'A Home Guard\n' 'B Dukes\n' 'C Auxiliary Units\n'
 'D Partisans\n']"
"#Q Who accepted the surrender of the German military forces in Northwest Germany, Holland and Denmark on May 4, 1945?
",General Montgomery,"['#Q Who accepted the surrender of the German military forces in Northwest Germany, Holland and Denmark on May 4, 1945?\n'
 '^ General Montgomery\n' 'A General Zhukov\n'
 'B General Jacques Leclerc\n' 'C General Montgomery\n'
 'D General George Marshall\n']"
"#Q Before committing suicide, Adolf Hitler appointed his successors. Schwerin von Krosigk was one of them.
",False,"['#Q Before committing suicide, Adolf Hitler appointed his successors. Schwerin von Krosigk was one of them.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q Which plane was the first operational turbojet to take part in WW II?\n']"
"#Q Which plane was the first operational turbojet to take part in WW II?
",Messerschmitt 262,"['#Q Which plane was the first operational turbojet to take part in WW II?\n'
 '^ Messerschmitt 262\n' 'A Heinkel He 178\n' 'B Gloster Meteor\n'
 'C Messerschmitt 262\n' 'D Arado Ar 234\n']"
"#Q During World War I Germany built and used one of the biggest guns in military history, Big Bertha. It fired 2,100 lb (820 kg) shells at a range of 15 km (9.3 miles) and was used in the assault of Verdun. Big Bertha was named after this member of the designers family.
",His wife,"['#Q During World War I Germany built and used one of the biggest guns in military history, Big Bertha. It fired 2,100 lb (820 kg) shells at a range of 15 km (9.3 miles) and was used in the assault of Verdun. Big Bertha was named after this member of the designers family.\n'
 '^ His wife\n' 'A His mother\n' 'B His wife\n' 'C His grandmother\n'
 'D His mother-in-law\n']"
"#Q Even though Bertha was a formidable gun, this one was even bigger. Paris Gun was used to bombard Paris during World War I. What was its main purpose?
",To attack the morale of enemy soldiers,"['#Q Even though Bertha was a formidable gun, this one was even bigger. Paris Gun was used to bombard Paris during World War I. What was its main purpose?\n'
 '^ To attack the morale of enemy soldiers\n'
 'A To demolish large buildings\n'
 'B To kill as many civilians as possible\n'
 'C To bombard important bunkers\n'
 'D To attack the morale of enemy soldiers\n']"
"#Q Lange Max (long Max) was a World War I German cannon officially called 38cm SKL/45.  Long Max was derived from the Paris Gun.
",False,"['#Q Lange Max (long Max) was a World War I German cannon officially called 38cm SKL/45.  Long Max was derived from the Paris Gun.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q One of the most accomplished ballistics engineers, Gerald Bull, was head of project HARP. The Pentagon and the Canadian Department of National Defence joined efforts in this project, trying to study ballistics of re-entry vehicles at low cost. They used 16 inch (406 mm) 50 caliber gun, which was later extended to 100 calibers (40 m), to fire shells toward the Atlantic at 3600 m/s. Do you know what HARP stood for?\n']"
"#Q One of the most accomplished ballistics engineers, Gerald Bull, was head of project HARP. The Pentagon and the Canadian Department of National Defence joined efforts in this project, trying to study ballistics of re-entry vehicles at low cost. They used 16 inch (406 mm) 50 caliber gun, which was later extended to 100 calibers (40 m), to fire shells toward the Atlantic at 3600 m/s. Do you know what HARP stood for?
",High Altitude Research Project,"['#Q One of the most accomplished ballistics engineers, Gerald Bull, was head of project HARP. The Pentagon and the Canadian Department of National Defence joined efforts in this project, trying to study ballistics of re-entry vehicles at low cost. They used 16 inch (406 mm) 50 caliber gun, which was later extended to 100 calibers (40 m), to fire shells toward the Atlantic at 3600 m/s. Do you know what HARP stood for?\n'
 '^ High Altitude Research Project\n'
 'A Hazard Assessment of Rocket Propellants\n'
 'B Helping to Attract and Recruit Project\n'
 'C Highly Autonomous Roving Projectile\n'
 'D High Altitude Research Project\n']"
"#Q During World War I and II, this German family created some of the biggest guns in the world. In the years of WW I they sold cannons to the the Entente as well as the Central Powers. Their work became the center for German rearmament after 1933 (when Hitler came to power).
",Krupp,"['#Q During World War I and II, this German family created some of the biggest guns in the world. In the years of WW I they sold cannons to the the Entente as well as the Central Powers. Their work became the center for German rearmament after 1933 (when Hitler came to power).\n'
 '^ Krupp\n' 'A Krupp\n' 'B Nathan\n' 'C Kramer\n' 'D Gustav\n']"
"#Q Two of the German K5(E) guns were called Anzio Annes, because they shelled the coast of Anzio during WW II.
",True,"['#Q Two of the German K5(E) guns were called Anzio Annes, because they shelled the coast of Anzio during WW II.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q Six gigantic guns were created during World War II, with the help of general Karl Baker. They were called Karl Monsers and were used in the Brest-Litovsk and Warsaw uprisings. What was their other deployment during the War?\n']"
"#Q Six gigantic guns were created during World War II, with the help of general Karl Baker. They were called Karl Monsers and were used in the Brest-Litovsk and Warsaw uprisings. What was their other deployment during the War?
",The siege of Sevastopol,"['#Q Six gigantic guns were created during World War II, with the help of general Karl Baker. They were called Karl Monsers and were used in the Brest-Litovsk and Warsaw uprisings. What was their other deployment during the War?\n'
 '^ The siege of Sevastopol\n' 'A The defence of Berlin\n'
 'B The siege of Stalingrad\n' 'C The siege of Moscow\n'
 'D The siege of Sevastopol\n']"
"#Q This is the biggest gun ever to be completed. It was 43 m (141 feet) long, weighed 1350 tons and fired 7 ton shells at range of 40 km (25 miles). It was capable of piercing a meter (3.3 feet) of steel or 7 meters (23 feet) of concrete. One of the two ever built guns of this type was called Schwerer Gustav. What was the name of the other one?
",Dora,"['#Q This is the biggest gun ever to be completed. It was 43 m (141 feet) long, weighed 1350 tons and fired 7 ton shells at range of 40 km (25 miles). It was capable of piercing a meter (3.3 feet) of steel or 7 meters (23 feet) of concrete. One of the two ever built guns of this type was called Schwerer Gustav. What was the name of the other one?\n'
 '^ Dora\n' 'A Sturmtiger\n' 'B Leopold\n' 'C Robert\n' 'D Dora\n']"
"#Q Tsar Pushka, the biggest cannon of its time, was created in Russia in 1586 and was later used to defend the Kremlin.
",False,"['#Q Tsar Pushka, the biggest cannon of its time, was created in Russia in 1586 and was later used to defend the Kremlin.\n'
 '^ False\n' 'A False\n' 'B True\n' '\n'
 '#Q Gerald Bull took part in another supergun program - project Babylon. He supplied the plans for a series of gigantic guns, but fortunately only one of them (the smallest one) was completed. This person commissioned the project.\n']"
